league_code,season,team_id,team_name,tm_canonical_name
ARG1,2024,928,Club Atlético Platense,Club Atlético Platense
ARG1,2024,209,CA River Plate,CA River Plate
ARG1,2024,189,CA Boca Juniors,CA Boca Juniors
ARG1,2024,1029,CA Vélez Sarsfield,CA Vélez Sarsfield
ARG1,2024,3938,CA Talleres,CA Talleres
ARG1,2024,1775,CA San Lorenzo de Almagro,CA San Lorenzo de Almagro
ARG1,2024,1444,Racing Club,Racing Club
ARG1,2024,333,CA Lanús,CA Lanús
ARG1,2024,11831,Club Atlético Tigre,Club Atlético Tigre
ARG1,2024,288,Club Estudiantes de La Plata,Club Estudiantes de La Plata
ARG1,2024,1286,CA Newell's Old Boys,CA Newell's Old Boys
ARG1,2024,2402,Defensa y Justicia,Defensa y Justicia
ARG1,2024,2063,CA Huracán,CA Huracán
ARG1,2024,1030,AA Argentinos Juniors,AA Argentinos Juniors
ARG1,2024,1418,CA Rosario Central,CA Rosario Central
ARG1,2024,830,CA Banfield,CA Banfield
ARG1,2024,14554,Club Atlético Tucumán,Club Atlético Tucumán
ARG1,2024,2417,Club Atlético Belgrano,Club Atlético Belgrano
ARG1,2024,1106,Club de Gimnasia y Esgrima La Plata,Club de Gimnasia y Esgrima La Plata
ARG1,2024,31284,CA Central Córdoba (SdE),CA Central Córdoba (SdE)
ARG1,2024,1234,CA Independiente,CA Independiente
ARG1,2024,12574,CD Godoy Cruz Antonio Tomba,CD Godoy Cruz Antonio Tomba
ARG1,2024,12179,CS Independiente Rivadavia,CS Independiente Rivadavia
ARG1,2024,1829,Instituto ACC,Instituto ACC
ARG1,2024,25184,CA Barracas Central,CA Barracas Central
ARG1,2024,7097,CA Unión (Santa Fe),CA Unión (Santa Fe)
ARG1,2024,12454,CA Sarmiento (Junin),CA Sarmiento (Junin)
ARG1,2024,19775,Club Deportivo Riestra,Club Deportivo Riestra
