name,dob,nationality,position,team,age_years,is_gk,season,league_code,player_id_fb
aaron anselmino,2005,ar ARG,DF,Boca Juniors,18.0,False,2024,ARG1,
aaron nicolas molinas,2000,ar ARG,"MF,FW",Defensa y Just,23.0,False,2024,ARG1,
aaron quiros,2001,ar ARG,DF,Banfield,22.0,False,2024,ARG1,
abiel osorio,2002,ar ARG,FW,Defensa y Just,21.0,False,2024,ARG1,
adam bareiro,1996,py PAR,FW,San Lorenzo,27.0,False,2024,ARG1,
adrian balboa,1994,uy URU,FW,Unión,30.0,False,2024,ARG1,
adrian guillermo sanchez,1999,ar ARG,MF,Atlé Tucumán,24.0,False,2024,ARG1,
adrian martinez,1992,ar ARG,FW,Racing Club,31.0,False,2024,ARG1,
adrian sporle,1995,ar ARG,DF,Independiente,28.0,False,2024,ARG1,
agustin almendra,2000,ar ARG,MF,Racing Club,23.0,False,2024,ARG1,
agustin baldi,2002,ar ARG,DF,Belgrano,21.0,False,2024,ARG1,
agustin bolivar,1996,ar ARG,MF,Gimnasia–LP,28.0,False,2024,ARG1,
agustin bouzat,1994,ar ARG,"MF,DF",Vélez Sarsfield,29.0,False,2024,ARG1,
agustin cardozo,1997,ar ARG,MF,Tigre,26.0,False,2024,ARG1,
agustin fontana,1996,ar ARG,FW,Sarmiento,27.0,False,2024,ARG1,
agustin garcia basso,1992,ar ARG,DF,Racing Club,31.0,False,2024,ARG1,
agustin giay,2004,ar ARG,DF,San Lorenzo,20.0,False,2024,ARG1,
agustin irazoque,1999,ar ARG,DF,Barracas Central,24.0,False,2024,ARG1,
agustin juarez,2005,ar ARG,"FW,MF",Newell's OB,18.0,False,2024,ARG1,
agustin lagos,2001,ar ARG,DF,Atlé Tucumán,22.0,False,2024,ARG1,
agustin martegani,2000,ar ARG,MF,Boca Juniors,23.0,False,2024,ARG1,
agustin modica,2003,ar ARG,FW,Rosario Central,21.0,False,2024,ARG1,
agustin morales,1999,ar ARG,"FW,DF",Cen. Córdoba–SdE,24.0,False,2024,ARG1,
agustin mulet,2000,ar ARG,MF,Ind. Rivadavia,23.0,False,2024,ARG1,
agustin obando,2000,ar ARG,"MF,FW",Banfield,23.0,False,2024,ARG1,
agustin palavecino,1996,ar ARG,MF,River Plate,27.0,False,2024,ARG1,
agustin quiroga,2002,ar ARG,DF,Platense,21.0,False,2024,ARG1,
agustin rodriguez,2004,ar ARG,"FW,MF",Lanús,19.0,False,2024,ARG1,
agustin ruberto,2006,ar ARG,"FW,MF",River Plate,18.0,False,2024,ARG1,
agustin sandez,2001,py PAR,DF,Rosario Central,23.0,False,2024,ARG1,
agustin sant'anna,1997,uy URU,DF,River Plate,26.0,False,2024,ARG1,
agustin toledo,2000,ar ARG,MF,Huracán,23.0,False,2024,ARG1,
agustin urzi,2000,ar ARG,"MF,FW",Racing Club,23.0,False,2024,ARG1,
agustin villalobos,2003,ar ARG,MF,Godoy Cruz,20.0,False,2024,ARG1,
alan aguerre,1990,ar ARG,GK,Lanús,33.0,True,2024,ARG1,
alan barrionuevo,1997,ar ARG,DF,Deportivo Riestra,27.0,False,2024,ARG1,
alan cantero,1998,ar ARG,MF,Barracas Central,25.0,False,2024,ARG1,
alan lescano,2001,ar ARG,"MF,FW",Arg Juniors,22.0,False,2024,ARG1,
alan rodriguez,2000,py PAR,"DF,MF",Rosario Central,23.0,False,2024,ARG1,
alan sonora,1998,us USA,"MF,FW",Huracán,25.0,False,2024,ARG1,
alan sosa,1996,ar ARG,GK,Tigre,27.0,True,2024,ARG1,
alejandro maciel,1997,ar ARG,DF,Banfield,26.0,False,2024,ARG1,
alejandro martinez,1997,ar ARG,FW,Talleres,26.0,False,2024,ARG1,
alejandro rebola,1988,ar ARG,DF,Belgrano,35.0,False,2024,ARG1,
alejo sarco,2006,ar ARG,"FW,MF",Vélez Sarsfield,18.0,False,2024,ARG1,
alex juarez,2004,ar ARG,"MF,FW",Barracas Central,19.0,False,2024,ARG1,
alex luna,2004,ar ARG,"FW,MF",Independiente,19.0,False,2024,ARG1,
alex vigo,1999,ar ARG,DF,Talleres,24.0,False,2024,ARG1,
alexander diaz,2000,ar ARG,"MF,FW",Deportivo Riestra,24.0,False,2024,ARG1,
alexis canelo,1992,ar ARG,"FW,MF",Independiente,31.0,False,2024,ARG1,
alexis cuello,2000,ar ARG,FW,San Lorenzo,23.0,False,2024,ARG1,
alexis dominguez,1996,ar ARG,"FW,MF",Barracas Central,27.0,False,2024,ARG1,
alexis maldonado,1997,ar ARG,DF,Banfield,26.0,False,2024,ARG1,
alexis manyoma,2003,co COL,"FW,MF",Estudiantes–LP,21.0,False,2024,ARG1,
alexis segovia,2004,ar ARG,"MF,FW",Cen. Córdoba–SdE,19.0,False,2024,ARG1,
alexis soto,1993,ar ARG,DF,Defensa y Just,30.0,False,2024,ARG1,
alvaro dionisio,1998,ar ARG,DF,Ind. Rivadavia,25.0,False,2024,ARG1,
alvaro montoro,2007,ar ARG,"MF,FW",Vélez Sarsfield,16.0,False,2024,ARG1,
andres berizovsky,2004,ar ARG,DF,Defensa y Just,19.0,False,2024,ARG1,
andres roa,1993,co COL,FW,Huracán,30.0,False,2024,ARG1,
andres vombergar,1994,si SVN,"FW,MF",San Lorenzo,29.0,False,2024,ARG1,
angelo marchese,2004,ar ARG,DF,Tigre,19.0,False,2024,ARG1,
angelo martino,1998,ar ARG,DF,Newell's OB,25.0,False,2024,ARG1,
anibal leguizamon,1992,ar ARG,DF,Belgrano,32.0,False,2024,ARG1,
antonio napolitano,1999,ar ARG,"DF,MF",Ind. Rivadavia,24.0,False,2024,ARG1,
antony alonso,1998,ar ARG,FW,Deportivo Riestra,25.0,False,2024,ARG1,
ariel gamarra,2003,py PAR,MF,Arg Juniors,20.0,False,2024,ARG1,
ariel rojas,1986,ar ARG,MF,Belgrano,38.0,False,2024,ARG1,
armando mendez,1996,uy URU,DF,Newell's OB,27.0,False,2024,ARG1,
augusto lotti,1996,it ITA,"FW,MF",Lanús,27.0,False,2024,ARG1,
augusto max,1992,ar ARG,MF,Gimnasia–LP,31.0,False,2024,ARG1,
augusto schott,2000,ar ARG,DF,Newell's OB,24.0,False,2024,ARG1,
augusto solari,1992,ar ARG,"FW,MF",Rosario Central,32.0,False,2024,ARG1,
axel atum,2006,ar ARG,"FW,MF",Estudiantes–LP,18.0,False,2024,ARG1,
axel werner,1996,ar ARG,GK,Rosario Central,27.0,True,2024,ARG1,
ayrton portillo,2000,ar ARG,"MF,DF",Defensa y Just,23.0,False,2024,ARG1,
baltasar rodriguez,2003,ar ARG,"MF,FW",Racing Club,20.0,False,2024,ARG1,
bautista barros schelotto,2000,ar ARG,DF,Platense,24.0,False,2024,ARG1,
bautista kociubinski,2001,ar ARG,"MF,DF",Estudiantes–LP,22.0,False,2024,ARG1,
benjamin bosch,2005,ar ARG,"DF,FW",Vélez Sarsfield,18.0,False,2024,ARG1,
benjamin dominguez,2003,ar ARG,FW,Gimnasia–LP,20.0,False,2024,ARG1,
benjamin schamine,2003,ar ARG,MF,Defensa y Just,20.0,False,2024,ARG1,
bernardo benitez,2002,py PAR,"MF,FW",Tigre,21.0,False,2024,ARG1,
blas armoa,2000,py PAR,"FW,MF",Tigre,23.0,False,2024,ARG1,
blas riveros,1998,py PAR,"DF,FW",Talleres,25.0,False,2024,ARG1,
braian aguirre,2000,ar ARG,DF,Lanús,23.0,False,2024,ARG1,
braian galvan,2000,ar ARG,"FW,MF",Banfield,23.0,False,2024,ARG1,
braian rivero,1996,ar ARG,"MF,FW",Platense,27.0,False,2024,ARG1,
braian romero,1991,ar ARG,FW,Vélez Sarsfield,32.0,False,2024,ARG1,
brandon oviedo,2005,ar ARG,DF,Banfield,19.0,False,2024,ARG1,
brian aguirre,2003,ar ARG,"FW,MF",Boca Juniors,20.0,False,2024,ARG1,
brian alexis leizza,2000,ar ARG,DF,Tigre,23.0,False,2024,ARG1,
brian calderara,1998,ar ARG,DF,Newell's OB,25.0,False,2024,ARG1,
brian cuello,1997,ar ARG,"MF,FW",Instituto,26.0,False,2024,ARG1,
brian luciatti,1993,ar ARG,DF,Lanús,30.0,False,2024,ARG1,
brian salvareschi,1999,ar ARG,DF,Godoy Cruz,24.0,False,2024,ARG1,
brian sanchez,1993,ar ARG,MF,Deportivo Riestra,30.0,False,2024,ARG1,
bruno barticciotto,2001,cl CHI,"FW,MF",Talleres,22.0,False,2024,ARG1,
bruno bianchi,1989,ar ARG,DF,Ind. Rivadavia,34.0,False,2024,ARG1,
bruno cabrera,2003,ar ARG,"FW,MF",Lanús,20.0,False,2024,ARG1,
bruno leyes,2001,ar ARG,MF,Godoy Cruz,22.0,False,2024,ARG1,
bruno pitton,1993,ar ARG,DF,Unión,30.0,False,2024,ARG1,
bruno sepulveda,1992,ar ARG,FW,Banfield,31.0,False,2024,ARG1,
bruno zuculini,1993,ar ARG,MF,Racing Club,30.0,False,2024,ARG1,
bryan cabezas,1997,ec ECU,"FW,DF",Sarmiento,26.0,False,2024,ARG1,
bryan reyna,1998,pe PER,"FW,MF",Belgrano,25.0,False,2024,ARG1,
camilo viganoni,2003,ar ARG,FW,Tigre,20.0,False,2024,ARG1,
carlos arce,1990,ar ARG,MF,Barracas Central,33.0,False,2024,ARG1,
carlos izquierdoz,1988,ar ARG,DF,Lanús,35.0,False,2024,ARG1,
carlos quintana,1988,ar ARG,DF,Rosario Central,35.0,False,2024,ARG1,
carlos sanchez,1986,co COL,DF,Barracas Central,37.0,False,2024,ARG1,
carlos villalba,1998,ar ARG,MF,Platense,25.0,False,2024,ARG1,
cesar ibanez,1999,ar ARG,DF,Huracán,24.0,False,2024,ARG1,
cesar perez,2002,cl CHI,"MF,FW",Defensa y Just,21.0,False,2024,ARG1,
christian ordonez,2004,ar ARG,MF,Vélez Sarsfield,19.0,False,2024,ARG1,
claudio aquino,1991,ar ARG,MF,Vélez Sarsfield,32.0,False,2024,ARG1,
claudio corvalan,1989,ar ARG,DF,Unión,34.0,False,2024,ARG1,
claudio echeverri,2006,ar ARG,"MF,FW",River Plate,18.0,False,2024,ARG1,
claudio valverde,2002,ar ARG,"MF,DF",Godoy Cruz,21.0,False,2024,ARG1,
cristian colman,1994,py PAR,"FW,DF",Gimnasia–LP,29.0,False,2024,ARG1,
cristian ferreira,1999,ar ARG,MF,San Lorenzo,24.0,False,2024,ARG1,
cristian lema,1990,ar ARG,DF,Boca Juniors,33.0,False,2024,ARG1,
cristian medina,2002,ar ARG,MF,Boca Juniors,21.0,False,2024,ARG1,
cristian nunez,1997,py PAR,MF,Banfield,26.0,False,2024,ARG1,
cristian paz,1995,ar ARG,DF,Deportivo Riestra,28.0,False,2024,ARG1,
cristian tarragona,1991,ar ARG,FW,San Lorenzo,32.0,False,2024,ARG1,
cristian torres,1999,ar ARG,"MF,FW",Godoy Cruz,24.0,False,2024,ARG1,
cristian vega,1993,ar ARG,MF,Cen. Córdoba–SdE,30.0,False,2024,ARG1,
cristopher fiermarin,1998,uy URU,GK,Defensa y Just,26.0,True,2024,ARG1,
damian batallini,1996,ar ARG,"MF,DF",Arg Juniors,27.0,False,2024,ARG1,
damian diaz,1986,ec ECU,MF,Banfield,37.0,False,2024,ARG1,
damian fernandez,2001,ar ARG,DF,Vélez Sarsfield,23.0,False,2024,ARG1,
damian martinez,1990,ar ARG,DF,Rosario Central,34.0,False,2024,ARG1,
damian perez,1988,ar ARG,DF,Independiente,35.0,False,2024,ARG1,
damian puebla,2002,ar ARG,"MF,FW",Instituto,21.0,False,2024,ARG1,
daniel barrea,2001,ar ARG,"MF,FW",Godoy Cruz,22.0,False,2024,ARG1,
daniel herrera,2004,ar ARG,"DF,MF",San Lorenzo,19.0,False,2024,ARG1,
daniel juarez,2001,ar ARG,FW,Barracas Central,22.0,False,2024,ARG1,
daniel zabala,2003,ar ARG,DF,River Plate,21.0,False,2024,ARG1,
dante campisi,1996,ar ARG,GK,Unión,27.0,True,2024,ARG1,
dardo miloc,1990,ar ARG,MF,Barracas Central,33.0,False,2024,ARG1,
dario caceres,1998,py PAR,"DF,MF",Defensa y Just,26.0,False,2024,ARG1,
dario sarmiento,2003,ar ARG,"MF,FW",Tigre,20.0,False,2024,ARG1,
david barbona,1995,ar ARG,"MF,FW",Defensa y Just,28.0,False,2024,ARG1,
david gallardo,1997,ar ARG,"MF,DF",Sarmiento,26.0,False,2024,ARG1,
david gonzalez,2003,ar ARG,"MF,FW",Racing Club,20.0,False,2024,ARG1,
david sotelo,2003,ar ARG,MF,Newell's OB,20.0,False,2024,ARG1,
