Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,dob_fb,birth_year_fb,market_value_eur,player_id,dob,age,join_method
aaron nicolas molinas,ar ARG,"MF,FW",Defensa y Just,0.0,2000,17.6,2,2,1.4,2.5,23,8,777,964,80.6,24,16,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,aaron nicolas molinas,aaron molinas,defensa y justicia,2000,2000.0,3000000,575999,2000-08-02,25,first+last+club+birth_year
aaron quiros,ar ARG,DF,Vélez Sarsfield,0.0,2001,13.3,0,0,0.6,0.0,4,0,519,649,79.97,17,11,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,aaron quiros,aaron quiros,velez sarsfield,2001,2001.0,2700000,881010,2001-10-31,23,key+birth_year
abiel osorio,ar ARG,FW,Defensa y Just,0.0,2002,20.1,5,1,7.0,1.2,45,16,306,437,70.02,7,6,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,abiel osorio,abiel osorio,defensa y justicia,2002,2002.0,1500000,991773,2002-06-13,23,key+birth_year
adrian balboa,uy URU,"FW,MF",Racing Club,0.0,1994,11.9,5,0,4.7,0.8,29,9,106,200,53.0,17,12,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adrian balboa,adrian balboa,racing club,1994,1994.0,800000,252209,1994-01-19,31,key+birth_year
adrian fernandez,ar ARG,"MF,FW",Racing Club,0.0,2001,3.8,0,1,0.8,1.1,7,1,161,216,74.54,7,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adrian fernandez,adrian fernandez,racing club,2001,2001.0,400000,877208,2001-05-20,24,key+birth_year
adrian guillermo sanchez,ar ARG,MF,Atlé Tucumán,0.0,1999,26.7,2,0,1.9,2.4,21,4,1117,1383,80.77,83,52,45,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adrian guillermo sanchez,adrian sanchez,atle tucuman,1999,1999.0,1800000,744279,1999-05-14,26,first+last+birth_year
adrian martinez,ar ARG,FW,Racing Club,0.0,1992,18.3,10,1,7.6,1.1,44,20,163,245,66.53,5,3,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adrian martinez,adrian martinez,racing club,1992,1992.0,3500000,598769,1992-07-07,33,key+birth_year
adrian sporle,ar ARG,DF,Independiente,0.0,1995,8.0,1,1,0.3,0.5,6,3,270,381,70.87,16,6,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adrian sporle,adrian sporle,independiente,1995,1995.0,250000,440371,1995-07-13,30,first+last+birth_year
agustin alaniz,uy URU,"FW,MF",Banfield,0.0,2002,12.1,2,2,1.9,2.0,28,7,194,289,67.13,17,12,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,agustin alaniz,agustin alaniz,banfield,2002,2002.0,600000,989203,2002-05-16,23,key+birth_year
agustin almendra,ar ARG,MF,Racing Club,0.0,2000,13.6,0,0,0.7,0.8,20,5,429,571,75.13,19,13,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,agustin almendra,agustin almendra,racing club,2000,2000.0,2800000,491698,2000-02-11,25,key+birth_year
agustin auzmendi,ar ARG,FW,Godoy Cruz,0.0,1997,13.0,5,0,4.1,0.4,35,10,122,230,53.04,6,3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,agustin auzmendi,agustin auzmendi,godoy cruz,1997,1997.0,1200000,732442,1997-02-01,28,first+last+birth_year
