player_id,player_name,club,Nation,Pos,dob,age,market_value_eur,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK
661136.0,kevin lomonaco,independiente,ar ARG,DF,2002-01-08,23.0,12000000.0,25.3,0,0,0.4,0.2,8,1,1289,1518,84.91,39,29,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
689211.0,juan nardoni,racing club,ar ARG,MF,2002-07-14,23.0,11000000.0,16.6,1,0,1.0,0.9,14,2,440,589,74.7,27,14,19,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1162160.0,maher carrizo,velez sarsfield,ar ARG,"FW,MF",2006-02-19,19.0,10000000.0,13.9,5,0,2.2,0.4,27,12,197,322,61.18,13,9,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
843286.0,felipe loyola,independiente,cl CHI,"MF,DF",2000-11-09,24.0,9000000.0,21.2,5,2,3.7,2.9,32,11,776,997,77.83,42,30,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
661133.0,cristian medina,estudiantes lp,ar ARG,"MF,FW",2002-06-01,23.0,8000000.0,15.9,0,1,1.9,2.4,19,6,517,615,84.07,30,16,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
576026.0,santiago sosa,racing club,ar ARG,"DF,MF",1999-05-03,26.0,8000000.0,18.2,0,1,0.8,0.3,17,4,789,998,79.06,47,31,18,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
839029.0,marco di cesare,racing club,ar ARG,DF,2002-01-30,23.0,8000000.0,18.1,1,0,0.8,0.1,12,3,545,719,75.8,26,16,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
857948.0,kevin castano,river plate,co COL,MF,2000-09-29,25.0,8000000.0,14.3,0,0,0.3,0.8,8,0,716,847,84.53,34,21,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
829966.0,kevin zenon,boca juniors,ar ARG,"MF,FW",2001-07-30,24.0,7000000.0,10.3,2,0,1.6,1.7,16,11,336,484,69.42,17,12,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
423436.0,santiago ascacibar,estudiantes lp,ar ARG,MF,1997-02-25,28.0,7000000.0,24.6,4,3,3.8,2.0,29,15,1063,1303,81.58,62,41,14,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
481367.0,miguel merentiel,boca juniors,uy URU,FW,1996-02-24,29.0,6500000.0,17.7,8,4,7.1,3.7,38,19,303,412,73.54,8,5,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
744324.0,gaston martirena,racing club,uy URU,"DF,MF",2000-01-05,25.0,6000000.0,20.4,2,4,1.2,3.3,31,7,623,973,64.03,33,21,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
839031.0,leonel perez,huracan,ar ARG,MF,2004-08-09,21.0,6000000.0,20.2,0,0,1.0,1.1,12,1,509,629,80.92,42,26,21,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
294853.0,sebastian driussi,river plate,ar ARG,"FW,MF",1996-02-09,29.0,6000000.0,10.3,5,1,3.4,0.8,26,8,238,330,72.12,15,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
491553.0,jaminton campaz,rosario central,co COL,"FW,MF",2000-05-24,25.0,6000000.0,17.7,4,1,2.7,3.1,42,15,453,657,68.95,38,26,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
741963.0,jhohan romana,san lorenzo,co COL,DF,1998-09-13,27.0,6000000.0,26.5,0,1,0.8,1.3,7,2,781,947,82.47,56,37,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
442231.0,maximiliano salas,racing club,ar ARG,"MF,FW",1997-12-01,27.0,6000000.0,11.3,1,3,1.9,1.7,28,8,157,261,60.15,18,12,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
991134.0,alan lescano,arg juniors,ar ARG,"MF,FW",2001-11-11,23.0,6000000.0,26.4,6,4,4.9,3.3,54,14,1050,1246,84.27,47,24,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
491705.0,facundo colidio,river plate,ar ARG,"FW,MF",2000-01-04,25.0,6000000.0,16.8,6,3,3.8,2.9,43,16,387,539,71.8,25,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
643259.0,orlando gill,san lorenzo,py PAR,GK,2000-06-11,25.0,5000000.0,27.0,0,0,0.0,0.0,0,0,389,689,56.46,0,0,0,0,18.0,0.67,68.0,52.0,73.5,15.0,55.6,0.0,0.0,0.0,0.0,18.9,0.28,2.9,0.11,120.0,401.0,29.9,483.0,76.0,55.9,43.7,21.0,5.7,5.0,0.19,10.4,True
1236677.0,milton delgado,boca juniors,ar ARG,MF,2005-06-16,20.0,5000000.0,10.6,0,1,0.1,0.0,1,0,521,588,88.61,28,19,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
