Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,dob_fb,birth_year_fb,market_value_eur,player_id,dob,age,join_method
abdelkahar kadri,dz ALG,"MF,DF",Gent,0.0,2000,6.1,1,2,0.3,0.6,8,2,315,359,87.74,15,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,abdelkahar kadri,abdelkahar kadri,gent,2000,2000,2200000,592400,2000-06-24,25,first+last+birth_year
abdoul karim traore,gn GUI,FW,OH Leuven,0.0,2007,5.8,0,0,1.9,0.3,18,4,51,79,64.56,6,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,abdoul karim traore,abdoul traore,oh leuven,2007,2007,700000,1284784,2007-01-12,18,first+last+birth_year
abdoulaye sissako,fr FRA,MF,Sint-Truiden,0.0,1998,9.9,0,1,0.7,0.2,12,1,365,447,81.66,27,17,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,abdoulaye sissako,abdoulaye sissako,sint truiden,1998,1998,700000,418661,1998-05-26,27,first+last+birth_year
abdoulaye traore,ci CIV,FW,Zulte Waregem,0.0,2003,1.6,0,0,1.0,0.1,9,3,33,50,66.0,4,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,abdoulaye traore,abdoulaye traore,zulte waregem,2003,2003,400000,1063856,2003-06-28,22,key+birth_year
adem zorgane,dz ALG,MF,Union SG,0.0,2000,9.7,1,2,1.0,2.4,10,3,401,493,81.34,16,10,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adem zorgane,adem zorgane,union sg,2000,2000,6000000,592403,2000-01-06,25,first+last+birth_year
adnane abid,be BEL,FW,Standard Liège,0.0,2003,5.7,1,1,0.3,0.8,6,3,140,196,71.43,6,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adnane abid,adnane abid,standard liege,2003,2003,1200000,583899,2003-08-23,22,first+last+birth_year
adrian palacios,ve VEN,"MF,FW",Genk,0.0,2004,0.0,0,0,0.2,0.0,1,0,2,3,66.67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adrian palacios,adrian palacios,genk,2004,2004,750000,1041316,2004-06-07,21,first+last+birth_year
adriano bertaccini,be BEL,FW,Anderlecht,0.0,2000,2.0,1,0,1.4,0.2,6,3,23,35,65.71,4,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adriano bertaccini,adriano bertaccini,anderlecht,2000,2000,4500000,364896,2000-08-13,25,first+last+birth_year
aiham ousou,sy SYR,DF,Charleroi,0.0,2000,9.7,1,0,0.4,0.1,4,1,421,491,85.74,11,6,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,aiham ousou,aiham ousou,charleroi,2000,2000,2500000,585068,2000-01-09,25,first+last+birth_year
aime omgba,nl NED,"FW,MF",Gent,0.0,2002,1.0,0,0,0.2,0.3,2,1,37,43,86.05,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,aime omgba,aime omgba,gent,2002,2002,1400000,568373,2002-10-22,23,first+last+birth_year
