Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,dob_fb,birth_year_fb,market_value_eur,player_id,dob,age,join_method
abner,br BRA,DF,Juventude,0.0,2004,14.2,0,1,0.2,0.4,2,0,464,546,84.98,18,10,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,abner,abner,juventude,2004,2004,1000000,1086632,2004-04-19,21,first+last+birth_year
adam bareiro,py PAR,FW,Fortaleza,0.0,1996,2.8,1,0,3.4,0.0,13,8,47,68,69.12,3,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adam bareiro,adam bareiro,fortaleza,1996,1996,3500000,514120,1996-07-26,29,first+last+birth_year
ademir santos,br BRA,FW,Bahia,0.0,1995,14.1,1,2,3.1,3.1,28,9,321,430,74.65,27,18,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,ademir santos,ademir santos,bahia,1995,1995,1500000,544259,1995-02-16,30,fuzzy_global(100.0)
aderlan silva,br BRA,DF,Santos,0.0,1990,1.0,0,0,0.0,0.1,1,0,37,50,74.0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,aderlan silva,aderlan silva,santos,1990,1990,250000,101506,1990-08-18,35,fuzzy_global(100.0)
adonis frias,ar ARG,DF,Santos,0.0,1998,4.4,0,0,0.1,0.0,3,1,172,194,88.66,4,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adonis frias,adonis frias,santos,1998,1998,3800000,598838,1998-03-17,27,first+last+birth_year
adriano martins,br BRA,DF,Juventude,0.0,1997,4.0,0,0,0.2,0.0,3,0,169,192,88.02,5,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adriano martins,adriano martins,juventude,1997,1997,,,nan,,
adson,br BRA,"FW,MF",Vasco da Gama,0.0,2000,2.3,0,0,0.1,0.2,3,2,122,146,83.56,6,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adson,adson,vasco da gama,2000,2000,3000000,868891,2000-10-06,25,first+last+birth_year
agustin canobbio,uy URU,"FW,MF",Fluminense,0.0,1998,14.9,2,2,2.2,1.4,29,9,368,470,78.3,38,21,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,agustin canobbio,agustin canobbio,fluminense,1998,1998,5000000,457533,1998-10-01,27,first+last+birth_year
agustin giay,ar ARG,DF,Palmeiras,0.0,2004,19.4,0,0,0.3,1.2,7,1,869,1051,82.68,53,39,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,agustin giay,agustin giay,palmeiras,2004,2004,11000000,849582,2004-01-16,21,first+last+birth_year
agustin rogel,uy URU,DF,Internacional,0.0,1997,5.0,0,0,0.1,0.0,2,0,208,230,90.43,9,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,agustin rogel,agustin rogel,internacional,1997,1997,,,nan,,
