player_id,player_name,club,Nation,Pos,dob,age,market_value_eur,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK
489893.0,yuri alberto,corinthians,br BRA,FW,2001-03-18,24.0,22000000.0,15.5,7,2,8.2,1.3,49,16,173,235,73.62,5,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
694928.0,samuel lino,flamengo,br BRA,"FW,MF",1999-12-23,25.0,22000000.0,9.2,2,4,2.1,1.6,27,6,324,408,79.41,19,11,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
432895.0,pedro,flamengo,br BRA,FW,1997-06-20,28.0,20000000.0,11.6,12,6,8.6,2.2,41,23,153,204,75.0,9,6,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
432895.0,pedro borges,fortaleza,br BRA,MF,1997-06-20,28.0,20000000.0,0.4,0,0,0.0,0.0,0,0,23,25,92.0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
943837.0,vitor roque,palmeiras,br BRA,FW,2005-02-28,20.0,20000000.0,18.4,13,3,10.6,2.4,60,30,183,252,72.62,11,10,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
203394.0,andreas pereira,palmeiras,br BRA,"MF,FW",1996-01-01,29.0,18000000.0,5.9,2,0,0.3,0.5,10,3,273,337,81.01,5,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1012564.0,rayan vitor,vasco da gama,br BRA,FW,2006-08-03,19.0,18000000.0,24.6,11,1,7.4,1.4,77,29,414,538,76.95,29,15,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
620477.0,kaio jorge,cruzeiro,br BRA,FW,2002-01-24,23.0,17000000.0,22.4,15,7,12.4,3.0,77,29,268,363,73.83,9,6,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
496268.0,joaquin piquerez,palmeiras,uy URU,DF,1998-08-24,27.0,15000000.0,23.8,3,1,3.1,2.9,27,7,1120,1400,80.0,44,24,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
248410.0,giorgian de arrascaeta,flamengo,uy URU,"MF,FW",1994-06-01,31.0,15000000.0,21.0,15,12,6.8,5.9,55,18,788,1040,75.77,31,14,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
