Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,dob_fb,birth_year_fb,market_value_eur,player_id,dob,age,join_method
abde ezzalzouli,ma MAR,"FW,MF",Betis,22,2001,22.0,2,2,8.0,2.0,61,25,542,757,71.6,37,25,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,abde ezzalzouli,abde ezzalzouli,betis,2001,2001,12000000,724520,2001-12-17,23,first+last+birth_year
abde rebbach,dz ALG,"FW,MF",Alavés,25,1998,4.3,0,0,0.2,0.3,6,1,74,118,62.71,3,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,abde rebbach,abde rebbach,alaves,1998,1998,700000,718034,1998-08-11,26,first+last+birth_year
abdel abqar,ma MAR,DF,Alavés,25,1999,27.4,0,1,0.9,0.3,12,1,719,939,76.57,36,23,28,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,abdel abqar,abdel abqar,alaves,1999,1999,7500000,559979,1999-03-10,26,first+last+birth_year
abdon prats,es ESP,"FW,MF",Mallorca,31,1992,5.1,2,0,2.2,0.1,13,4,58,87,66.67,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,abdon prats,abdon prats,mallorca,1992,1992,1200000,177452,1992-12-07,32,first+last+birth_year
abdoulaye keita,es ESP,"FW,MF",Getafe,21,2002,1.1,0,0,0.0,0.0,2,0,15,27,55.56,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,abdoulaye keita,abdoulaye keita,getafe,2002,2002,200000,949489,2002-09-01,22,first+last+birth_year
abdul mumin,gh GHA,DF,Rayo Vallecano,26,1998,22.4,2,1,0.6,0.2,10,3,900,1085,82.95,37,25,40,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,abdul mumin,abdul mumin,rayo vallecano,1998,1998,5000000,451801,1998-06-06,27,key+birth_year
abdulai juma bah,sl SLE,DF,Valladolid,18,2006,9.6,0,0,0.3,0.0,3,1,330,407,81.08,10,7,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,abdulai juma bah,abdulai bah,valladolid,2006,2006,6000000,1121298,2006-04-11,19,fuzzy_global(100.0)
abel bretones,es ESP,DF,Osasuna,23,2000,23.0,2,0,0.5,1.0,12,4,776,1071,72.46,61,37,29,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,abel bretones,abel bretones,osasuna,2000,2000,4000000,658115,2000-08-21,24,key+birth_year
abel ruiz,es ESP,FW,Girona,24,2000,15.0,4,0,4.6,0.5,21,7,239,272,87.87,6,2,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,abel ruiz,abel ruiz,girona,2000,2000,4000000,340376,2000-01-28,25,first+last+birth_year
aboubacar bassinga,ci CIV,MF,Las Palmas,19,2005,0.0,0,0,0.0,0.0,0,0,2,4,50.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,aboubacar bassinga,aboubacar bassinga,las palmas,2005,2005,100000,1210422,2005-07-13,19,first+last+birth_year
adam aznou,ma MAR,DF,Valladolid,18,2006,9.7,0,0,0.3,0.3,4,1,245,343,71.43,28,21,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,adam aznou,adam aznou,valladolid,2006,2006,4000000,938146,2006-06-02,19,first+last+birth_year
adama boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,0,0,0.3,0.5,5,0,401,502,79.88,20,11,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,adama boiro,adama boiro,athletic club,2002,2002,2500000,710671,2002-06-22,23,key+birth_year
adnan januzaj,be BEL,"MF,FW",Las Palmas,29,1995,6.6,2,1,0.8,1.1,16,5,242,350,69.14,10,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,adnan januzaj,adnan januzaj,las palmas,1995,1995,1200000,177847,1995-02-05,30,first+last+birth_year
