player_id,player_name,club,Nation,Pos,dob,age,market_value_eur,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK
937958.0,lamine yamal,barcelona,es ESP,FW,13/7/2007,17.0,200000000.0,31.7,9,13,9.8,13.9,144,46,1161,1553,74.76,42,28,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
342229.0,kylian mbappe,real madrid,fr FRA,FW,20/12/1998,26.0,180000000.0,32.3,31,3,25.9,7.7,152,75,949,1145,82.88,8,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
581678.0,jude bellingham,real madrid,eng ENG,MF,29/6/2003,22.0,180000000.0,27.6,9,8,11.4,3.9,60,22,1333,1548,86.11,61,33,37,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
371998.0,vinicius junior,real madrid,br BRA,FW,12/7/2000,24.0,170000000.0,25.0,11,8,10.4,8.0,78,24,673,901,74.69,21,10,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
683840.0,pedri,barcelona,es ESP,MF,25/11/2002,22.0,140000000.0,32.0,4,5,2.2,7.4,25,11,2404,2749,87.45,61,34,45,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
369081.0,federico valverde,real madrid,uy URU,"MF,DF",22/7/1998,26.0,130000000.0,33.7,6,4,2.7,3.1,57,22,2010,2237,89.85,50,30,38,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
576024.0,julian alvarez,atletico madrid,ar ARG,FW,31/1/2000,25.0,100000000.0,27.9,17,4,14.1,5.3,70,36,717,966,74.22,25,17,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
411295.0,raphinha,barcelona,br BRA,"FW,MF",14/12/1996,28.0,90000000.0,31.5,18,9,19.2,12.7,112,40,1064,1497,71.08,36,22,29,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
412363.0,rodrygo,real madrid,br BRA,"FW,MF",9/1/2001,24.0,90000000.0,21.4,6,5,4.0,3.0,54,20,939,1093,85.91,21,14,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
962110.0,pau cubarsi,barcelona,es ESP,DF,22/1/2007,18.0,80000000.0,29.1,0,3,0.8,1.6,8,0,2434,2604,93.47,34,23,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
