Player;Nation;Pos;Squad;Age;Born;MatchesPlayed;Gls;Ast;xG;xAG;Shots;SoT;PassCmp;PassAtt;PassCmpPct;Tkl;TklW;Blocks;Int;GK_GA;GK_GA90;GK_SoTA;GK_Saves;GK_SavePct;GK_CS;GK_CSPct;GK_PKAtt;GK_PKA;GK_PKsv;GK_PKm;GK_PSxG;GK_PSxG_per_SoT;GK_PSxG_PlusMinus;GK_PSxG_PlusMinus_per90;GK_PassCmp;GK_PassAtt;GK_PassCmpPct;GK_GKPassAtt;GK_Throws;GK_LaunchPct;GK_AvgLen;GK_CrossesStp;GK_CrossesStpPct;GK_OPA;GK_OPA90;GK_OPA_AvgDist;IsGK;AgeYears;player_norm;player_fl;club_norm;dob_fb;birth_year_fb;market_value_eur;player_id;dob;age;join_method
aaron malouda;fr FRA;FW;Lille;18;2005;0.0;0;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;18.0;aaron malouda;aaron malouda;lille;2005;2005.0;150000;974996;30/11/2005;19;first+last+birth_year
abakar sylla;ci CIV;DF;Strasbourg;21;2002;10.6;1;0;0.4;0.1;5;1;583;658;88.6;27;15;18;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;21.0;abakar sylla;abakar sylla;strasbourg;2002;2002.0;10000000;962555;25/12/2002;22;first+last+birth_year
abdallah sima;sn SEN;FW,MF;Brest;23;2001;13.8;7;2;5.9;1.0;37;18;231;332;69.58;15;11;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;23.0;abdallah sima;abdallah sima;brest;2001;2001.0;9000000;776798;17/6/2001;24;first+last+birth_year
abdoul kone;fr FRA;DF;Reims;19;2005;1.5;0;0;0.0;0.0;0;0;44;65;67.69;5;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;19.0;abdoul kone;abdoul kone;reims;2005;2005.0;400000;1130445;22/4/2005;20;first+last+birth_year
abdoul ouattara;fr FRA;DF,FW;Strasbourg;18;2005;5.2;1;1;0.3;0.5;5;2;167;195;85.64;6;4;10;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;18.0;abdoul ouattara;abdoul ouattara;strasbourg;2005;2005.0;1200000;991487;22/10/2005;19;first+last+birth_year
abdoulaye bamba;ci CIV;DF;Angers;34;1990;16.8;0;0;0.1;0.3;1;0;518;585;88.55;22;12;14;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;34.0;abdoulaye bamba;abdoulaye bamba;angers;1990;1990.0;300000;62351;25/4/1990;35;first+last+birth_year
abdoulaye niakhate ndiaye;sn SEN;DF;Brest;22;2002;19.0;1;0;1.0;0.0;11;2;804;931;86.36;49;33;29;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;22.0;abdoulaye niakhate ndiaye;abdoulaye ndiaye;brest;2002;2002.0;4000000;673514;10/4/2002;23;first+last+birth_year
abdoulaye toure;gn GUI;MF;Le Havre;30;1994;25.8;10;1;9.4;0.4;38;6;868;1059;81.96;61;34;36;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;30.0;abdoulaye toure;abdoulaye toure;le havre;1994;1994.0;3000000;181382;3/3/1994;31;first+last+birth_year
abdukodir khusanov;uz UZB;DF;Lens;20;2004;10.8;0;0;0.2;0.3;6;4;483;548;88.14;15;11;17;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;20.0;abdukodir khusanov;abdukodir khusanov;lens;2004;2004.0;35000000;763079;29/2/2004;21;first+last+birth_year
abdulai juma bah;sl SLE;DF;Lens;18;2006;7.6;0;0;0.1;0.2;2;1;353;378;93.39;16;10;10;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;18.0;abdulai juma bah;abdulai bah;lens;2006;2006.0;6000000;1121298;11/4/2006;19;fuzzy_global(100.0)
