player_id,player_name,club,Nation,Pos,dob,age,market_value_eur,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK
502670.0,khvicha kvaratskhelia,paris s g,ge GEO,FW,12/2/2001,24.0,90000000.0,10.2,4,3,3.3,4.9,34,15,468,547,85.56,19,13,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
914562.0,desire doue,paris s g,fr FRA,"FW,MF",3/6/2005,20.0,90000000.0,19.2,6,6,5.1,7.8,55,20,933,1133,82.35,48,30,26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
288230.0,ousmane dembele,paris s g,fr FRA,FW,15/5/1997,28.0,90000000.0,19.2,21,6,16.6,8.2,96,49,844,1068,79.03,11,5,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
487469.0,vitinha,paris s g,pt POR,MF,13/2/2000,25.0,80000000.0,22.7,5,1,3.4,2.6,25,12,2236,2403,93.05,43,23,26,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
670681.0,joao neves,paris s g,pt POR,"MF,DF",27/9/2004,20.0,80000000.0,20.5,3,8,3.0,4.0,28,11,1491,1634,91.25,63,31,29,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
398073.0,achraf hakimi,paris s g,ma MAR,DF,4/11/1998,26.0,80000000.0,23.0,4,6,2.9,6.2,32,12,1898,2140,88.69,48,36,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
708265.0,bradley barcola,paris s g,fr FRA,FW,2/9/2002,22.0,70000000.0,24.2,14,10,13.4,10.1,74,38,749,917,81.68,27,17,25,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
616341.0,nuno mendes,paris s g,pt POR,DF,19/6/2002,23.0,70000000.0,18.6,1,3,2.2,5.0,21,9,1293,1488,86.9,30,19,25,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
661171.0,willian pacho,paris s g,ec ECU,DF,16/10/2001,23.0,65000000.0,23.7,0,1,0.3,0.3,4,1,1865,1968,94.77,56,32,35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
810092.0,warren zaire-emery,paris s g,fr FRA,"MF,DF",8/3/2006,19.0,55000000.0,22.8,1,2,1.7,1.4,17,7,1557,1677,92.84,51,26,35,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
607223.0,rayan cherki,lyon,fr FRA,"FW,MF",17/8/2003,21.0,45000000.0,22.7,8,11,5.0,11.1,45,19,1079,1375,78.47,15,12,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
745200.0,maghnes akliouche,monaco,fr FRA,"FW,MF",25/2/2002,23.0,45000000.0,26.7,5,10,9.2,7.3,61,17,989,1216,81.33,51,31,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
533738.0,jonathan david,lille,ca CAN,FW,14/1/2000,25.0,45000000.0,28.4,16,5,16.2,4.4,66,28,563,686,82.07,24,8,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
532826.0,mason greenwood,marseille,eng ENG,"FW,MF",1/10/2001,23.0,40000000.0,31.2,21,5,16.3,5.7,111,45,1089,1389,78.4,35,18,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
350219.0,fabian ruiz pena,paris s g,es ESP,MF,3/4/1996,29.0,40000000.0,21.4,4,5,4.3,4.7,43,12,1458,1627,89.61,37,24,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
315858.0,gianluigi donnarumma,paris s g,it ITA,GK,25/2/1999,26.0,40000000.0,23.2,0,0,0.0,0.0,0,0,552,632,87.34,1,1,0,0,25.0,1.08,74.0,49.0,67.6,4.0,16.7,1.0,1.0,0.0,0.0,21.7,0.29,-3.3,-0.14,35.0,101.0,34.7,543.0,90.0,13.6,25.1,10.0,5.0,19.0,0.82,14.4,True
550550.0,goncalo ramos,paris s g,pt POR,FW,20/6/2001,24.0,40000000.0,11.8,10,3,13.6,2.2,52,29,193,241,80.08,11,6,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
743600.0,andrey santos,strasbourg,br BRA,MF,3/5/2004,21.0,35000000.0,31.7,10,3,5.1,3.3,46,16,1401,1588,88.22,110,74,46,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
181767.0,marquinhos,paris s g,br BRA,DF,14/5/1994,31.0,35000000.0,19.2,2,0,1.1,0.8,8,3,1736,1830,94.86,30,19,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
763079.0,abdukodir khusanov,lens,uz UZB,DF,29/2/2004,21.0,35000000.0,10.8,0,0,0.2,0.3,6,4,483,548,88.14,15,11,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
487969.0,randal kolo muani,paris s g,fr FRA,FW,5/12/1998,26.0,30000000.0,4.0,2,1,4.7,0.9,15,6,57,78,73.08,4,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
334526.0,denis zakaria,monaco,ch SUI,MF,20/11/1996,28.0,30000000.0,23.8,6,4,5.2,1.4,29,9,1062,1175,90.38,41,26,31,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
463600.0,lucas chevalier,lille,fr FRA,GK,6/11/2001,23.0,30000000.0,34.0,0,0,0.0,0.9,0,0,862,1083,79.59,3,2,0,0,36.0,1.06,126.0,91.0,74.6,11.0,32.4,4.0,4.0,0.0,0.0,42.2,0.32,7.2,0.21,112.0,288.0,38.9,968.0,144.0,25.7,29.6,21.0,5.6,24.0,0.71,13.9,True
418659.0,amine gouiri,marseille,dz ALG,"FW,MF",16/2/2000,25.0,30000000.0,11.6,10,3,8.4,3.6,51,24,284,351,80.91,5,5,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
565821.0,mika biereth,monaco,dk DEN,FW,8/2/2003,22.0,30000000.0,13.6,13,2,11.3,4.5,40,22,149,241,61.83,5,5,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
743386.0,malick fofana,lyon,be BEL,FW,31/3/2005,20.0,30000000.0,17.7,5,4,3.8,3.7,31,15,494,638,77.43,22,11,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
810895.0,eliesse ben seghir,monaco,ma MAR,"MF,FW",16/2/2005,20.0,28000000.0,19.4,6,3,5.5,5.2,58,19,754,951,79.28,31,22,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1097139.0,ayyoub bouaddi,lille,fr FRA,MF,2/10/2007,17.0,28000000.0,12.8,0,1,0.1,1.0,3,1,487,555,87.75,50,31,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
463605.0,bafode diakite,lille,fr FRA,DF,6/1/2001,24.0,28000000.0,30.7,4,1,2.3,0.2,16,7,2086,2239,93.17,31,18,30,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
559328.0,emanuel emegha,strasbourg,nl NED,FW,3/2/2003,22.0,25000000.0,25.5,14,3,17.0,2.4,61,35,273,340,80.29,6,6,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
