Player;Nation;Pos;Squad;Age;Born;MatchesPlayed;Gls;Ast;xG;xAG;Shots;SoT;PassCmp;PassAtt;PassCmpPct;Tkl;TklW;Blocks;Int;GK_GA;GK_GA90;GK_SoTA;GK_Saves;GK_SavePct;GK_CS;GK_CSPct;GK_PKAtt;GK_PKA;GK_PKsv;GK_PKm;GK_PSxG;GK_PSxG_per_SoT;GK_PSxG_PlusMinus;GK_PSxG_PlusMinus_per90;GK_PassCmp;GK_PassAtt;GK_PassCmpPct;GK_GKPassAtt;GK_Throws;GK_LaunchPct;GK_AvgLen;GK_CrossesStp;GK_CrossesStpPct;GK_OPA;GK_OPA90;GK_OPA_AvgDist;IsGK;AgeYears;player_norm;player_fl;club_norm;dob_fb;birth_year_fb;market_value_eur;player_id;dob;age;join_method
abdoulie ceesay;gm GAM;FW;St. Pauli;20;2004;0.7;0;0;0.0;0.0;0;0;8;14;57.14;3;3;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;20.0;abdoulie ceesay;abdoulie ceesay;st pauli;2004;2004;500000;1280281;5/1/2004;21;first+last+birth_year
adam aznou;ma MAR;DF;Bayern Munich;18;2006;0.2;0;0;0.0;0.0;0;0;13;17;76.47;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;18.0;adam aznou;adam aznou;bayern munich;2006;2006;4000000;938146;2/6/2006;19;key+birth_year
adam dzwigaa;pl POL;DF,MF;St. Pauli;28;1995;4.1;0;0;0.4;0.0;6;0;173;212;81.6;20;10;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;28.0;adam dzwigaa;adam dzwigaa;st pauli;1995;1995;600000;236966;25/9/1995;29;fuzzy_global(96.0)
adam hlozek;cz CZE;FW,MF;Hoffenheim;22;2002;20.8;8;4;5.6;3.5;59;24;348;508;68.5;22;10;13;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;22.0;adam hlozek;adam hlozek;hoffenheim;2002;2002;18000000;552057;25/7/2002;22;first+last+birth_year
adrian beck;de GER;MF,FW;Heidenheim;27;1997;17.8;4;1;3.3;1.2;39;13;581;725;80.14;36;17;31;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;27.0;adrian beck;adrian beck;heidenheim;1997;1997;2000000;273669;9/6/1997;28;first+last+birth_year
alassane plea;fr FRA;MF,FW;Gladbach;31;1993;21.1;11;4;7.4;3.1;41;12;573;795;72.08;7;3;11;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;31.0;alassane plea;alassane plea;gladbach;1993;1993;5000000;167329;10/3/1993;32;first+last+birth_year
aleix garcia;es ESP;MF;Leverkusen;27;1997;16.2;3;4;1.0;4.9;15;5;1212;1390;87.19;13;7;12;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;27.0;aleix garcia;aleix garcia;leverkusen;1997;1997;20000000;261504;28/6/1997;28;first+last+birth_year
aleksandar pavlovic;de GER;MF;Bayern Munich;20;2004;16.1;1;0;0.6;0.2;9;4;1437;1541;93.25;38;21;18;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;20.0;aleksandar pavlovic;aleksandar pavlovic;bayern munich;2004;2004;55000000;792380;3/5/2004;21;key+birth_year
alex grimaldo;es ESP;DF;Leverkusen;28;1995;29.3;2;7;2.5;8.1;44;13;1700;2094;81.18;24;14;22;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;28.0;alex grimaldo;alex grimaldo;leverkusen;1995;1995;30000000;193082;20/9/1995;29;
alexander bernhardsson;se SWE;FW,MF;Holstein Kiel;25;1998;14.0;7;2;4.1;1.3;27;14;193;319;60.5;29;15;14;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;25.0;alexander bernhardsson;alexander bernhardsson;holstein kiel;1998;1998;3000000;633454;8/9/1998;26;key+birth_year
alexander meyer;de GER;GK;Dortmund;33;1991;2.0;0;0;0.0;0.1;0;0;54;83;65.06;0;0;0;0;4.0;2.0;11.0;7.0;63.6;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.36;0.0;0.0;8.0;33.0;24.2;76.0;3.0;35.5;34.8;1.0;4.2;2.0;1.0;14.8;True;33.0;alexander meyer;alexander meyer;dortmund;1991;1991;800000;76158;13/4/1991;34;first+last+birth_year
alexander nubel;de GER;GK;Stuttgart;27;1996;34.0;0;1;0.0;0.3;0;0;1009;1311;76.96;0;0;0;0;53.0;1.56;136.0;83.0;62.5;7.0;20.6;3.0;2.0;1.0;0.0;44.8;0.32;-7.2;-0.21;157.0;410.0;38.3;1183.0;137.0;30.1;30.7;21.0;5.1;57.0;1.68;17.6;True;27.0;alexander nubel;alexander nubel;stuttgart;1996;1996;12000000;195778;30/9/1996;28;first+last+birth_year
alexander prass;at AUT;DF;Hoffenheim;23;2001;17.4;0;1;0.9;2.8;12;1;704;969;72.65;42;23;33;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;23.0;alexander prass;alexander prass;hoffenheim;2001;2001;5000000;434116;26/5/2001;24;first+last+birth_year
alexander schwolow;de GER;GK;Union Berlin;32;1992;6.0;0;0;0.0;0.0;0;0;148;207;71.5;0;0;0;0;13.0;2.17;28.0;15.0;57.1;0.0;0.0;1.0;1.0;0.0;0.0;9.7;0.32;-3.3;-0.55;28.0;73.0;38.4;166.0;26.0;31.3;31.0;0.0;0.0;4.0;0.67;14.2;True;32.0;alexander schwolow;alexander schwolow;union berlin;1992;1992;500000;93763;2/6/1992;33;first+last+birth_year
alexis claude-maurice;fr FRA;MF,FW;Augsburg;26;1998;23.4;9;2;4.7;1.2;59;22;543;655;82.9;41;26;16;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;26.0;alexis claude maurice;alexis maurice;augsburg;1998;1998;12000000;384593;6/6/1998;27;first+last+birth_year
aliou badara balde;gn GUI;MF,FW;Bochum;21;2002;1.0;0;0;0.2;0.2;4;1;11;20;55.0;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;21.0;aliou badara balde;aliou balde;bochum;2002;2002;800000;666977;12/12/2002;22;first+last+birth_year
aljoscha kemlein;de GER;MF;Union Berlin;19;2004;10.2;1;0;0.9;0.6;11;3;351;465;75.48;10;4;14;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;19.0;aljoscha kemlein;aljoscha kemlein;union berlin;2004;2004;7000000;692737;2/8/2004;20;first+last+birth_year
almugera kabar;de GER;DF;Dortmund;18;2006;1.5;0;0;0.0;0.5;0;0;89;98;90.82;5;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;18.0;almugera kabar;almugera kabar;dortmund;2006;2006;1000000;884820;6/6/2006;19;first+last+birth_year
alphonso davies;ca CAN;DF;Bayern Munich;23;2000;17.3;1;2;1.2;1.6;17;3;1141;1272;89.7;30;17;14;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;23.0;alphonso davies;alphonso davies;bayern munich;2000;2000;50000000;424204;2/11/2000;24;key+birth_year
amadou haidara;ml MLI;MF;RB Leipzig;26;1998;14.7;0;1;1.4;0.9;18;1;723;902;80.16;30;17;42;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;26.0;amadou haidara;amadou haidara;rb leipzig;1998;1998;16000000;402008;31/1/1998;27;key+birth_year
ameen al-dakhil;be BEL;DF;Stuttgart;22;2002;4.8;0;0;0.1;0.2;1;0;311;339;91.74;6;6;12;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;22.0;ameen al dakhil;ameen dakhil;stuttgart;2002;2002;7500000;620598;6/3/2002;23;first+last+birth_year
amine adli;ma MAR;MF,FW;Leverkusen;24;2000;8.5;2;0;2.7;0.7;20;7;267;360;74.17;15;9;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;24.0;amine adli;amine adli;leverkusen;2000;2000;18000000;532776;10/5/2000;25;first+last+birth_year
amos pieper;de GER;DF;Werder Bremen;26;1998;16.6;0;0;0.4;0.6;7;1;790;932;84.76;32;17;28;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;26.0;amos pieper;amos pieper;werder bremen;1998;1998;3500000;334221;17/1/1998;27;first+last+birth_year
andras schafer;hu HUN;MF;Union Berlin;25;1999;17.0;1;1;0.6;0.9;12;1;414;563;73.53;52;26;33;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;25.0;andras schafer;andras schafer;union berlin;1999;1999;5000000;454863;13/4/1999;26;first+last+birth_year
andre silva;pt POR;FW;Werder Bremen;28;1995;4.2;1;0;2.6;0.4;12;5;82;116;70.69;2;2;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;28.0;andre silva;andre silva;werder bremen;1995;1995;4000000;198008;6/11/1995;29;first+last+birth_year
andreas albers;dk DEN;FW;St. Pauli;34;1990;0.7;1;0;0.6;0.1;3;1;15;29;51.72;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;34.0;andreas albers;andreas albers;st pauli;1990;1990;300000;88647;23/3/1990;35;first+last+birth_year
andreas hanche-olsen;no NOR;DF;Mainz 05;27;1997;14.3;1;1;0.8;0.3;12;2;530;642;82.55;21;13;25;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;27.0;andreas hanche olsen;andreas olsen;mainz 05;1997;1997;6000000;370683;17/1/1997;28;first+last+birth_year
andreas skov olsen;dk DEN;FW,MF;Wolfsburg;24;1999;5.9;1;1;0.8;1.9;7;1;217;270;80.37;8;6;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;24.0;andreas skov olsen;andreas olsen;wolfsburg;1999;1999;14000000;432982;29/12/1999;25;first+last+birth_year
andrej ilic;rs SRB;FW;Union Berlin;24;2000;10.4;7;0;4.9;0.3;27;11;110;191;57.59;2;2;7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;24.0;andrej ilic;andrej ilic;union berlin;2000;2000;4000000;583699;3/4/2000;25;first+last+birth_year
andrej kramaric;hr CRO;MF,FW;Hoffenheim;33;1991;30.7;11;8;11.8;4.3;66;23;1021;1314;77.7;15;8;16;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;33.0;andrej kramaric;andrej kramaric;hoffenheim;1991;1991;4000000;46580;19/6/1991;34;first+last+birth_year
andu kelati;de GER;MF,DF;Holstein Kiel;21;2002;3.2;1;1;0.9;0.8;6;3;95;123;77.24;7;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;21.0;andu kelati;andu kelati;holstein kiel;2002;2002;800000;719694;13/8/2002;22;key+birth_year
angelo stiller;de GER;MF;Stuttgart;23;2001;30.5;1;8;1.8;7.2;21;4;2219;2540;87.36;49;27;29;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;23.0;angelo stiller;angelo stiller;stuttgart;2001;2001;45000000;443710;4/4/2001;24;first+last+birth_year
anrie chase;jp JPN;DF;Stuttgart;20;2004;8.2;0;0;0.1;0.0;5;0;497;541;91.87;10;4;10;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;20.0;anrie chase;anrie chase;stuttgart;2004;2004;3000000;948537;24/3/2004;21;first+last+birth_year
ansgar knauff;de GER;MF,DF;Eint Frankfurt;22;2002;17.7;4;5;4.9;5.2;30;9;363;544;66.73;41;22;23;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;22.0;ansgar knauff;ansgar knauff;eint frankfurt;2002;2002;15000000;429874;10/1/2002;23;first+last+birth_year
anthony caci;fr FRA;DF;Mainz 05;27;1997;29.8;1;7;3.1;6.6;32;12;1188;1655;71.78;60;40;33;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;27.0;anthony caci;anthony caci;mainz 05;1997;1997;12000000;453016;1/7/1997;27;first+last+birth_year
anthony jung;de GER;DF;Werder Bremen;32;1991;21.1;0;0;0.0;0.1;1;0;1354;1512;89.55;34;22;23;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;32.0;anthony jung;anthony jung;werder bremen;1991;1991;1000000;58995;3/11/1991;33;first+last+birth_year
anthony losilla;fr FRA;MF;Bochum;38;1986;12.6;0;0;0.1;0.4;5;0;321;419;76.61;30;16;22;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;38.0;anthony losilla;anthony losilla;bochum;1986;1986;500000;111266;10/3/1986;39;first+last+birth_year
anthony rouault;fr FRA;DF;Stuttgart;23;2001;13.5;1;0;0.5;0.3;5;1;787;874;90.05;15;11;18;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;23.0;anthony rouault;anthony rouault;stuttgart;2001;2001;10000000;690799;29/5/2001;24;first+last+birth_year
anton stach;de GER;MF,DF;Hoffenheim;25;1998;28.7;1;2;2.0;2.2;35;10;1270;1537;82.63;66;46;47;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;25.0;anton stach;anton stach;hoffenheim;1998;1998;14000000;344069;15/11/1998;26;first+last+birth_year
antonio nusa;no NOR;MF,DF;RB Leipzig;19;2005;17.3;3;3;1.6;2.8;24;7;420;566;74.2;30;17;22;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;19.0;antonio nusa;antonio nusa;rb leipzig;2005;2005;28000000;894914;17/4/2005;20;key+birth_year
arijon ibrahimovic;de GER;FW;Bayern Munich;18;2005;0.0;0;0;0.0;0.0;0;0;3;3;100.0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;18.0;arijon ibrahimovic;arijon ibrahimovic;bayern munich;2005;2005;4000000;744728;11/12/2005;19;key+birth_year
