player_id,player_name,club,Nation,Pos,dob,age,market_value_eur,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK
580195.0,jamal musiala,bayern munich,de GER,MF,26/2/2003,22.0,140000000.0,20.0,12,2,9.3,4.5,68,31,778,942,82.59,36,21,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
598577.0,florian wirtz,leverkusen,de GER,"MF,FW",3/5/2003,22.0,140000000.0,26.1,10,12,9.4,7.0,74,35,1370,1749,78.33,32,20,32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
566723.0,michael olise,bayern munich,fr FRA,"FW,MF",12/12/2001,23.0,100000000.0,25.9,12,15,9.7,12.0,86,36,1290,1585,81.39,36,23,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
445939.0,omar marmoush,eint frankfurt,eg EGY,FW,7/2/1999,26.0,75000000.0,16.1,15,9,8.8,6.2,75,34,300,430,69.77,12,8,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
709726.0,hugo ekitike,eint frankfurt,fr FRA,FW,20/6/2002,23.0,75000000.0,28.5,15,8,21.6,6.8,114,44,486,644,75.47,16,12,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
132098.0,harry kane,bayern munich,eng ENG,FW,28/7/1993,31.0,75000000.0,26.5,26,9,20.3,5.3,105,45,509,645,78.91,13,11,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
627442.0,benjamin sesko,rb leipzig,si SVN,"FW,MF",31/5/2003,22.0,70000000.0,26.4,13,5,10.0,2.1,66,29,415,614,67.59,7,3,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
566931.0,xavi simons,rb leipzig,nl NED,MF,21/4/2003,22.0,70000000.0,23.9,10,6,5.1,6.3,50,23,944,1201,78.6,28,21,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
792380.0,aleksandar pavlovic,bayern munich,de GER,MF,3/5/2004,21.0,55000000.0,16.1,1,0,0.6,0.2,9,4,1437,1541,93.25,38,21,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
659813.0,piero hincapie,leverkusen,ec ECU,DF,9/1/2002,23.0,50000000.0,29.7,2,2,2.9,3.2,22,3,1855,2110,87.91,52,40,40,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
368887.0,lois openda,rb leipzig,be BEL,"FW,MF",16/2/2000,25.0,50000000.0,27.3,9,5,9.0,3.4,77,31,377,591,63.79,9,4,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
670882.0,jamie gittens,dortmund,eng ENG,"FW,MF",8/8/2004,20.0,50000000.0,19.7,8,3,3.6,2.5,52,24,427,558,76.52,31,19,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
344695.0,dayot upamecano,bayern munich,fr FRA,DF,27/10/1998,26.0,50000000.0,19.5,2,0,1.2,0.5,13,6,1805,1923,93.86,36,22,17,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
484547.0,jeremie frimpong,leverkusen,nl NED,"DF,MF",10/12/2000,24.0,50000000.0,25.7,5,5,4.1,4.2,34,16,715,940,76.06,33,25,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
424204.0,alphonso davies,bayern munich,ca CAN,DF,2/11/2000,24.0,50000000.0,17.3,1,2,1.2,1.6,17,3,1141,1272,89.7,30,17,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
270541.0,serhou guirassy,dortmund,gn GUI,FW,12/3/1996,29.0,45000000.0,28.9,21,4,22.7,3.9,86,33,456,627,72.73,7,6,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
443710.0,angelo stiller,stuttgart,de GER,MF,4/4/2001,24.0,45000000.0,30.5,1,8,1.8,7.2,21,4,2219,2540,87.36,49,27,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
161056.0,joshua kimmich,bayern munich,de GER,MF,8/2/1995,30.0,45000000.0,31.6,3,7,1.8,7.4,34,10,3269,3652,89.51,47,29,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
496094.0,karim adeyemi,dortmund,de GER,"FW,MF",18/1/2002,23.0,45000000.0,15.9,7,6,5.5,6.0,46,18,298,401,74.31,20,14,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
388198.0,nico schlotterbeck,dortmund,de GER,DF,1/12/1999,25.0,40000000.0,22.0,0,4,1.3,2.1,17,4,1856,2080,89.23,38,24,31,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
257814.0,gregor kobel,dortmund,ch SUI,GK,6/12/1997,27.0,40000000.0,32.0,0,0,0.0,0.0,0,0,993,1241,80.02,0,0,0,1,47.0,1.47,129.0,82.0,66.7,7.0,21.9,4.0,4.0,0.0,0.0,47.4,0.35,1.4,0.04,112.0,336.0,33.3,1117.0,126.0,23.7,28.6,22.0,5.2,47.0,1.47,15.7,True
503482.0,kim min-jae,bayern munich,kr KOR,DF,15/11/1996,28.0,40000000.0,25.4,2,0,1.6,0.3,7,5,2340,2530,92.49,35,20,23,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
401578.0,exequiel palacios,leverkusen,ar ARG,MF,5/10/1998,26.0,40000000.0,12.8,1,6,1.5,2.3,13,8,922,1023,90.13,22,15,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
931838.0,hugo larsson,eint frankfurt,se SWE,MF,27/6/2004,21.0,40000000.0,26.6,3,1,3.1,2.1,21,10,1080,1243,86.89,47,27,42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
656681.0,victor boniface,leverkusen,ng NGA,FW,23/12/2000,24.0,40000000.0,11.2,8,1,7.8,1.1,50,17,172,245,70.2,5,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
618472.0,castello lukeba,rb leipzig,fr FRA,DF,17/12/2002,22.0,40000000.0,17.5,0,0,0.4,0.2,4,1,1054,1238,85.14,31,17,29,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
801734.0,mathys tel,bayern munich,fr FRA,"FW,MF",27/4/2005,20.0,35000000.0,2.8,0,1,0.7,0.3,10,3,108,128,84.38,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
