Player;Nation;Pos;Squad;Age;Born;MatchesPlayed;Gls;Ast;xG;xAG;Shots;SoT;PassCmp;PassAtt;PassCmpPct;Tkl;TklW;Blocks;Int;GK_GA;GK_GA90;GK_SoTA;GK_Saves;GK_SavePct;GK_CS;GK_CSPct;GK_PKAtt;GK_PKA;GK_PKsv;GK_PKm;GK_PSxG;GK_PSxG_per_SoT;GK_PSxG_PlusMinus;GK_PSxG_PlusMinus_per90;GK_PassCmp;GK_PassAtt;GK_PassCmpPct;GK_GKPassAtt;GK_Throws;GK_LaunchPct;GK_AvgLen;GK_CrossesStp;GK_CrossesStpPct;GK_OPA;GK_OPA90;GK_OPA_AvgDist;IsGK;AgeYears;player_norm;player_fl;club_norm;dob_fb;birth_year_fb;market_value_eur;player_id;dob;age;join_method
aaron ciammaglichella;it ITA;MF;Torino;19;2005;0.0;0;0;0.0;0.0;0;0;0;0;0.0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;19.0;aaron ciammaglichella;aaron ciammaglichella;torino;2005;2005;700000;724108;26/1/2005;20;first+last+birth_year
aaron martin;es ESP;DF;Genoa;27;1997;34.3;0;8;0.9;5.5;16;4;1221;1685;72.46;71;47;33;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;27.0;aaron martin;aaron martin;genoa;1997;1997;6500000;251878;22/4/1997;28;first+last+birth_year
abdou harroui;nl NED;MF,FW;Hellas Verona;26;1998;5.1;1;2;2.2;0.4;15;4;160;202;79.21;9;6;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;26.0;abdou harroui;abdou harroui;hellas verona;1998;1998;1800000;416386;13/1/1998;27;key+birth_year
adam marusic;me MNE;DF;Lazio;31;1992;26.0;4;0;2.0;0.6;23;10;1053;1240;84.92;32;20;18;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;31.0;adam marusic;adam marusic;lazio;1992;1992;3500000;239802;17/10/1992;32;first+last+birth_year
adam masina;ma MAR;DF;Torino;30;1994;21.3;1;2;0.7;0.3;8;2;1066;1267;84.14;33;15;28;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;30.0;adam masina;adam masina;torino;1994;1994;1500000;286949;2/1/1994;31;first+last+birth_year
adam obert;sk SVK;DF;Cagliari;21;2002;12.0;1;1;0.9;0.4;9;2;413;537;76.91;31;18;19;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;21.0;adam obert;adam obert;cagliari;2002;2002;3000000;568333;23/8/2002;22;key+birth_year
ademola lookman;ng NGA;MF,FW;Atalanta;26;1997;25.0;15;5;10.3;7.1;81;32;684;944;72.46;32;15;19;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;26.0;ademola lookman;ademola lookman;atalanta;1997;1997;60000000;406040;20/10/1997;27;first+last+birth_year
adrian benedyczak;pl POL;FW,MF;Parma;23;2000;2.4;0;0;0.3;0.1;3;0;35;52;67.31;0;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;23.0;adrian benedyczak;adrian benedyczak;parma;2000;2000;4500000;454386;24/11/2000;24;key+birth_year
adrian bernabe;es ESP;MF;Parma;23;2001;16.1;1;1;1.3;1.1;27;5;823;984;83.64;29;18;22;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;23.0;adrian bernabe;adrian bernabe;parma;2001;2001;15000000;466802;26/5/2001;24;key+birth_year
adrien tameze;cm CMR;MF,DF;Torino;30;1994;7.2;0;0;0.4;0.8;7;3;259;301;86.05;5;2;8;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;30.0;adrien tameze;adrien tameze;torino;1994;1994;2000000;157507;4/2/1994;31;first+last+birth_year
alan matturro;uy URU;DF;Genoa;19;2004;10.0;0;0;0.2;0.2;4;3;280;359;77.99;11;6;10;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;19.0;alan matturro;alan matturro;genoa;2004;2004;7000000;861981;11/10/2004;20;first+last+birth_year
albert gumundsson;is ISL;FW,MF;Fiorentina;27;1997;14.1;6;1;4.5;1.8;25;13;415;500;83.0;9;5;5;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;27.0;albert gumundsson;albert gumundsson;fiorentina;1997;1997;18000000;305947;15/6/1997;28;fuzzy_club(97.14285714285714)
alberto cerri;it ITA;FW;Como;28;1996;1.0;0;0;1.0;0.0;4;1;15;23;65.22;0;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;28.0;alberto cerri;alberto cerri;como;1996;1996;1000000;197751;16/4/1996;29;first+last+birth_year
alberto costa;pt POR;DF;Juventus;20;2003;4.0;0;1;0.6;0.2;7;0;176;212;83.02;14;10;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;20.0;alberto costa;alberto costa;juventus;2003;2003;10000000;877139;29/9/2003;21;first+last+birth_year
alberto dossena;it ITA;DF;Como;25;1998;20.3;0;2;0.8;0.7;12;3;894;1020;87.65;33;20;22;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;25.0;alberto dossena;alberto dossena;como;1998;1998;8000000;385394;13/10/1998;26;first+last+birth_year
alberto grassi;it ITA;MF;Empoli;29;1995;24.5;1;0;1.0;0.8;11;4;634;850;74.59;39;21;22;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;29.0;alberto grassi;alberto grassi;empoli;1995;1995;1800000;197473;7/3/1995;30;first+last+birth_year
alberto manzoni;it ITA;MF;Atalanta;19;2005;0.1;0;0;0.1;0.0;1;0;11;12;91.67;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;19.0;alberto manzoni;alberto manzoni;atalanta;2005;2005;900000;936755;25/6/2005;20;first+last+birth_year
alberto moreno;es ESP;DF;Como;32;1992;19.2;0;0;0.4;1.2;14;6;893;1082;82.53;25;11;12;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;32.0;alberto moreno;alberto moreno;como;1992;1992;1500000;207917;5/7/1992;32;first+last+birth_year
alberto paleari;it ITA;GK;Torino;31;1992;1.0;0;0;0.0;0.0;0;0;28;32;87.5;0;0;0;0;3.0;3.0;7.0;4.0;57.1;0.0;0.0;0.0;0.0;0.0;0.0;2.2;0.32;-0.8;-0.77;8.0;12.0;66.7;26.0;5.0;34.6;31.0;0.0;0.0;5.0;5.0;27.3;True;31.0;alberto paleari;alberto paleari;torino;1992;1992;500000;163048;29/8/1992;32;first+last+birth_year
alen sherri;al ALB;GK;Cagliari;26;1997;6.9;0;0;0.0;0.0;0;0;163;225;72.44;1;0;0;1;11.0;1.59;31.0;20.0;64.5;1.0;14.3;0.0;0.0;0.0;0.0;10.9;0.35;-0.1;-0.02;29.0;84.0;34.5;168.0;22.0;35.7;32.2;4.0;4.7;5.0;0.72;11.1;True;26.0;alen sherri;alen sherri;cagliari;1997;1997;1000000;304144;15/12/1997;27;key+birth_year
alessandro bastoni;it ITA;DF;Inter;25;1999;26.7;1;5;0.8;2.3;13;2;1966;2225;88.36;46;24;25;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;25.0;alessandro bastoni;alessandro bastoni;inter;1999;1999;80000000;315853;13/4/1999;26;first+last+birth_year
alessandro bianco;it ITA;MF;Monza;21;2002;28.9;1;0;1.3;1.2;26;6;1314;1525;86.16;51;28;40;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;21.0;alessandro bianco;alessandro bianco;monza;2002;2002;5000000;602124;1/10/2002;22;first+last+birth_year
alessandro buongiorno;it ITA;DF;Napoli;25;1999;21.4;1;0;0.8;0.6;8;4;1161;1279;90.77;39;23;30;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;25.0;alessandro buongiorno;alessandro buongiorno;napoli;1999;1999;50000000;386446;6/6/1999;26;first+last+birth_year
alessandro circati;au AUS;DF;Parma;20;2003;6.0;0;0;0.3;0.0;2;0;197;229;86.03;7;5;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;20.0;alessandro circati;alessandro circati;parma;2003;2003;8000000;867137;10/10/2003;21;key+birth_year
alessandro deiola;it ITA;MF;Cagliari;28;1995;15.9;2;1;1.7;0.6;18;5;384;523;73.42;31;20;26;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;28.0;alessandro deiola;alessandro deiola;cagliari;1995;1995;1600000;235931;1/8/1995;29;key+birth_year
alessandro florenzi;it ITA;FW;Milan;33;1991;0.1;0;0;0.0;0.0;0;0;3;4;75.0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;33.0;alessandro florenzi;alessandro florenzi;milan;1991;1991;1000000;130365;11/3/1991;34;first+last+birth_year
alessandro gabrielloni;it ITA;FW,MF;Como;30;1994;1.6;1;1;0.3;0.8;5;2;28;49;57.14;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;30.0;alessandro gabrielloni;alessandro gabrielloni;como;1994;1994;850000;311333;10/7/1994;30;first+last+birth_year
alessandro marcandalli;it ITA;DF;Genoa;21;2002;0.5;0;0;0.0;0.0;0;0;12;20;60.0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;21.0;alessandro marcandalli;alessandro marcandalli;genoa;2002;2002;2000000;818448;25/10/2002;22;first+last+birth_year
alessandro vogliacco;it ITA;DF;Genoa;25;1998;7.9;2;0;1.3;0.0;5;2;266;341;78.01;15;3;11;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;25.0;alessandro vogliacco;alessandro vogliacco;genoa;1998;1998;2800000;330208;14/9/1998;26;first+last+birth_year
alessandro zanoli;it ITA;FW,DF;Genoa;23;2000;19.0;1;0;0.4;1.6;11;3;339;507;66.86;29;20;20;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;23.0;alessandro zanoli;alessandro zanoli;genoa;2000;2000;6000000;397225;3/10/2000;24;first+last+birth_year
alessio cacciamani;it ITA;MF,DF;Torino;17;2007;0.3;0;0;0.0;0.0;0;0;12;15;80.0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;17.0;alessio cacciamani;alessio cacciamani;torino;2007;2007;500000;1188619;29/6/2007;18;first+last+birth_year
alessio iovine;it ITA;DF,FW;Como;33;1991;4.3;0;0;0.0;0.2;1;0;170;226;75.22;5;2;7;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;33.0;alessio iovine;alessio iovine;como;1991;1991;400000;330472;1/2/1991;34;first+last+birth_year
alessio romagnoli;it ITA;DF;Lazio;29;1995;29.7;2;0;2.4;0.3;20;7;1624;1770;91.75;48;29;33;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;29.0;alessio romagnoli;alessio romagnoli;lazio;1995;1995;7000000;197747;12/1/1995;30;first+last+birth_year
alessio zerbin;it ITA;DF;Venezia;25;1999;16.9;1;1;1.9;2.1;16;6;400;612;65.36;51;28;28;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;25.0;alessio zerbin;alessio zerbin;venezia;1999;1999;4000000;433584;3/3/1999;26;first+last+birth_year
alex jimenez;es ESP;DF,FW;Milan;19;2005;14.1;0;1;0.8;1.3;15;5;452;564;80.14;24;13;24;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;19.0;alex jimenez;alex jimenez;milan;2005;2005;15000000;741257;8/5/2005;20;first+last+birth_year
