player_id,player_name,club,Nation,Pos,dob,age,market_value_eur,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK
406625.0,lautaro martinez,inter,ar ARG,FW,22/8/1997,27.0,95000000.0,28.5,12,3,13.5,4.3,102,34,472,634,74.45,30,16,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
502670.0,khvicha kvaratskhelia,napoli,ge GEO,"FW,MF",12/2/2001,24.0,90000000.0,13.1,5,3,4.1,3.7,49,16,352,461,76.36,15,9,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
315853.0,alessandro bastoni,inter,it ITA,DF,13/4/1999,26.0,80000000.0,26.7,1,5,0.8,2.3,13,2,1966,2225,88.36,46,24,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
318528.0,marcus thuram,inter,fr FRA,FW,6/8/1997,27.0,75000000.0,25.4,14,4,9.9,4.4,65,27,412,559,73.7,18,10,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
255942.0,nicolo barella,inter,it ITA,MF,7/2/1997,28.0,75000000.0,27.7,3,6,2.2,4.5,43,9,1484,1808,82.08,50,31,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
357164.0,rafael leao,milan,pt POR,FW,10/6/1999,26.0,70000000.0,25.8,8,8,7.6,8.4,66,29,630,849,74.2,16,10,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
460939.0,tijjani reijnders,milan,nl NED,MF,29/7/1998,26.0,60000000.0,34.8,10,4,7.5,3.5,77,28,1355,1549,87.48,26,13,22,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
406040.0,ademola lookman,atalanta,ng NGA,"MF,FW",20/10/1997,27.0,60000000.0,25.0,15,5,10.3,7.1,81,32,684,944,72.46,32,15,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
386446.0,alessandro buongiorno,napoli,it ITA,DF,6/6/1999,26.0,50000000.0,21.4,1,0,0.8,0.6,8,4,1161,1279,90.77,39,23,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
364135.0,moise kean,fiorentina,it ITA,FW,28/2/2000,25.0,50000000.0,30.0,19,3,19.4,1.9,103,49,228,326,69.94,7,5,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
