Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,dob_fb,birth_year_fb,market_value_eur,player_id,dob,age,join_method
aaron herrera,gt GUA,"DF,MF",D.C. United,0.0,1997,23.0,0,2,0.7,2.9,16,4,865,1151,75.15,36,20,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,aaron herrera,aaron herrera,d c united,1997,1997,2000000,401362,1997-06-06,28,key+birth_year
aaron long,us USA,DF,LAFC,0.0,1992,14.1,1,0,0.9,0.1,4,1,987,1044,94.54,16,12,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,aaron long,aaron long,lafc,1992,1992,1000000,271072,1992-10-12,33,first+last+birth_year
adam beaudry,us USA,GK,Colorado Rapids,0.0,2006,1.0,0,0,0.0,0.0,0,0,12,28,42.86,0,0,0,0,3.0,3.0,5.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.45,0.2,0.23,4.0,18.0,22.2,21.0,6.0,61.9,46.9,0.0,0.0,0.0,0.0,12.0,True,0.0,adam beaudry,adam beaudry,colorado rapids,2006,2006,200000,998664,2006-04-18,19,key+birth_year
adam saldana,us USA,MF,LAFC,0.0,2002,2.0,0,0,0.0,0.0,1,0,87,92,94.57,5,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adam saldana,adam saldana,lafc,2002,2002,175000,504207,2002-02-07,23,first+last+birth_year
adilson malanda,fr FRA,DF,Charlotte,0.0,2001,32.2,1,0,1.8,0.2,16,1,1779,2035,87.42,27,20,59,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adilson malanda,adilson malanda,charlotte,2001,2001,6000000,847772,2001-10-29,23,first+last+birth_year
adrian marin,es ESP,DF,Orlando City,0.0,1997,3.6,0,0,0.2,0.1,4,0,152,182,83.52,2,2,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adrian marin,adrian marin,orlando city,1997,1997,1500000,295414,1997-01-09,28,first+last+birth_year
adrian wibowo,id IDN,FW,LAFC,0.0,2006,0.2,0,0,0.0,0.0,0,0,7,8,87.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,adrian wibowo,adrian wibowo,lafc,2006,2006,100000,1010640,2006-01-17,19,first+last+birth_year
agustin ojeda,ar ARG,"FW,MF",NYCFC,0.0,2004,14.9,0,5,1.3,3.6,19,4,482,610,79.02,25,18,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,agustin ojeda,agustin ojeda,nycfc,2004,2004,4000000,907131,2004-06-19,21,first+last+birth_year
ahmed qasem,se SWE,"FW,MF",Nashville SC,0.0,2003,13.6,2,1,1.8,2.1,19,8,273,353,77.34,21,12,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,ahmed qasem,ahmed qasem,nashville sc,2003,2003,3500000,833817,2003-07-12,22,key+birth_year
aiden harangi,us USA,DF,San Diego FC,0.0,2006,3.7,0,0,0.2,0.2,2,0,178,211,84.36,3,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,aiden harangi,aiden harangi,san diego fc,2006,2006,100000,907597,2006-02-08,19,key+birth_year
aiden hezarkhani,us USA,"FW,MF",Real Salt Lake,0.0,2007,0.6,0,0,0.0,0.0,1,0,7,15,46.67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,aiden hezarkhani,aiden hezarkhani,real salt lake,2007,2007,50000,1242126,2007-06-28,18,first+last+birth_year
aiden o'neill,au AUS,MF,NYCFC,0.0,1998,16.7,0,0,0.3,0.7,10,1,837,952,87.92,44,25,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,aiden o neill,aiden neill,nycfc,1998,1998,3000000,385918,1998-07-04,27,first+last+birth_year
aj marcucci,us USA,GK,NY Red Bulls,0.0,1999,2.0,0,0,0.0,0.0,0,0,46,69,66.67,0,0,0,0,2.0,1.0,5.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.28,-0.6,-0.31,5.0,24.0,20.8,59.0,10.0,32.2,32.7,1.0,5.9,4.0,2.0,27.2,True,0.0,aj marcucci,aj marcucci,ny red bulls,1999,1999,250000,884244,1999-07-31,26,first+last+birth_year
ajani fortune,tt TRI,"MF,DF",Atlanta Utd,0.0,2002,8.7,1,0,0.7,1.0,7,3,407,465,87.53,21,16,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,ajani fortune,ajani fortune,atlanta utd,2002,2002,1500000,793361,2002-12-30,22,first+last+birth_year
