player_id,player_name,club,Nation,Pos,dob,age,market_value_eur,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK
91845.0,son heung-min,lafc,kr KOR,FW,1992-07-08,33.0,20000000.0,8.9,9,2,5.3,2.9,35,19,242,304,79.61,6,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
255901.0,rodrigo de paul,inter miami,ar ARG,MF,1994-05-24,31.0,20000000.0,9.9,0,3,0.8,1.1,11,0,670,789,84.92,11,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28003.0,lionel messi,inter miami,ar ARG,"FW,MF",1987-06-24,38.0,18000000.0,26.9,29,16,22.4,14.0,155,69,1111,1418,78.35,17,11,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
392964.0,emmanuel latte lath,atlanta utd,ci CIV,FW,1999-01-01,26.0,18000000.0,24.4,7,1,9.4,1.4,57,17,262,381,68.77,18,10,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
323874.0,evander,fc cincinnati,br BRA,MF,1998-06-09,27.0,14000000.0,30.4,18,14,7.8,9.1,114,52,1088,1388,78.39,38,20,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
482072.0,kevin denkey,fc cincinnati,tg TOG,FW,2000-11-30,24.0,14000000.0,25.3,15,1,10.9,2.2,74,33,417,503,82.9,11,7,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
342389.0,anders dreyer,san diego fc,dk DEN,FW,1998-05-02,27.0,12000000.0,33.5,19,17,17.0,11.8,100,43,1189,1570,75.73,15,10,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
272999.0,miguel almiron,atlanta utd,py PAR,"FW,MF",1994-02-10,31.0,10000000.0,30.1,6,4,9.0,3.1,65,19,1065,1307,81.48,46,26,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
316889.0,hirving lozano,san diego fc,mx MEX,FW,1995-07-30,30.0,10000000.0,20.3,9,8,10.0,4.5,89,25,522,747,69.88,26,15,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
420884.0,hugo cuypers,chicago fire,be BEL,FW,1997-02-07,28.0,9000000.0,31.1,17,2,19.5,4.0,79,38,395,556,71.04,46,32,36,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
255450.0,aleksei miranchuk,atlanta utd,ru RUS,"MF,FW",1995-10-17,30.0,9000000.0,30.5,6,3,4.6,6.0,66,21,1135,1453,78.11,24,15,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
317454.0,diego rossi,columbus crew,uy URU,"FW,MF",1998-03-05,27.0,8500000.0,27.7,16,3,13.4,4.5,91,40,899,1149,78.24,6,3,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
236045.0,denis bouanga,lafc,ga GAB,FW,1994-11-11,30.0,8000000.0,29.5,24,7,21.8,7.7,134,60,676,982,68.84,22,12,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
795738.0,paxten aaronson,colorado rapids,us USA,MF,2003-08-26,22.0,8000000.0,6.4,1,0,2.7,0.6,22,7,218,253,86.17,8,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
880626.0,diego luna,real salt lake,us USA,"MF,FW",2003-09-07,22.0,8000000.0,25.2,9,3,6.4,3.5,52,17,940,1185,79.32,25,16,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
889435.0,obed vargas,seattle sounders,mx MEX,MF,2005-08-05,20.0,8000000.0,25.2,3,1,2.5,2.3,30,10,1163,1350,86.15,49,28,30,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
262999.0,cristian arango,sj earthquakes,co COL,"FW,MF",1995-03-09,30.0,7500000.0,28.3,13,3,14.6,4.2,121,39,511,734,69.62,41,23,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
398402.0,sam surridge,nashville sc,eng ENG,FW,1998-07-28,27.0,7000000.0,32.6,24,3,24.2,4.9,102,48,393,580,67.76,23,13,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
389255.0,brandon vazquez,austin,us USA,FW,1998-10-14,27.0,7000000.0,17.8,5,0,10.3,0.6,52,20,188,301,62.46,12,6,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
534435.0,joseph paintsil,la galaxy,gh GHA,FW,1998-02-01,27.0,7000000.0,21.9,10,2,9.8,1.7,59,30,530,682,77.71,16,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
519514.0,liel abada,charlotte,il ISR,"FW,MF",2001-10-03,24.0,7000000.0,16.5,5,1,7.0,2.8,44,15,351,464,75.65,28,16,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
440988.0,martin ojeda,orlando city,ar ARG,"MF,FW",1998-11-27,26.0,7000000.0,29.8,16,9,11.8,10.3,103,38,1018,1303,78.13,27,19,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
315289.0,myrto uzuni,austin,al ALB,FW,1995-05-31,30.0,7000000.0,22.9,6,3,9.6,2.6,54,22,299,370,80.81,14,8,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
484756.0,djordje mihailovic,toronto fc,us USA,"MF,FW",1998-11-10,26.0,6500000.0,9.8,4,2,2.6,2.3,15,8,253,347,72.91,12,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
395928.0,marco pasalic,orlando city,hr CRO,"MF,FW",2000-09-14,25.0,6000000.0,28.5,12,5,8.1,5.6,102,41,710,904,78.54,24,15,32,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
589737.0,kelvin yeboah,minnesota utd,it ITA,FW,2000-05-06,25.0,6000000.0,22.7,9,0,10.1,0.9,59,29,241,363,66.39,12,11,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
249030.0,daniel gazdag,philadelphia union,hu HUN,"MF,FW",1996-03-02,29.0,6000000.0,5.5,2,2,1.1,2.9,5,3,180,222,81.08,13,9,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
58358.0,thomas muller,vancouver w caps,de GER,MF,1989-09-13,36.0,6000000.0,6.0,7,3,5.2,1.4,16,10,244,335,72.84,7,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
422929.0,wessam abou ali,columbus crew,ps PLE,FW,1999-01-04,26.0,6000000.0,3.4,3,0,0.8,0.6,5,4,56,80,70.0,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
193081.0,ryan gauld,vancouver w caps,sct SCO,FW,1995-12-16,29.0,6000000.0,2.7,1,1,0.9,0.5,8,4,109,142,76.76,9,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
479870.0,alonso martinez,nycfc,cr CRC,FW,1998-10-15,27.0,6000000.0,27.7,17,1,20.9,2.3,95,41,262,368,71.2,12,5,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
387110.0,petar musa,fc dallas,hr CRO,FW,1998-03-04,27.0,6000000.0,25.5,18,6,15.4,4.5,74,30,502,762,65.88,17,8,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
847772.0,adilson malanda,charlotte,fr FRA,DF,2001-10-29,23.0,6000000.0,32.2,1,0,1.8,0.2,16,1,1779,2035,87.42,27,20,59,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
