Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,dob_fb,birth_year_fb,market_value_eur,player_id,dob,age,join_method
aaron meijers,nl NED,DF,RKC Waalwijk,36,1987,8.4,0,0,0.1,0.4,2,0,293,403,72.7,15,8,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0,aaron meijers,aaron meijers,rkc waalwijk,1987,1987.0,75000,56836,1987-10-28,37,first+last+birth_year
abdurrahman burak sayn,0,FW,Fortuna Sittard,0,0,0.0,0,0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,abdurrahman burak sayn,abdurrahman sayn,fortuna sittard,0,2024.0,,,nan,,
adam kayed,ps PLE,"MF,DF",NAC Breda,22,2002,5.2,1,0,0.6,0.2,8,2,137,181,75.69,18,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,adam kayed,adam kayed,nac breda,2002,2002.0,,,nan,,
adamo nagalo,bf BFA,DF,PSV Eindhoven,21,2002,1.9,0,0,0.0,0.1,1,0,160,168,95.24,5,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,adamo nagalo,adamo nagalo,psv eindhoven,2002,2002.0,4000000,800976,2002-09-22,23,key+birth_year
adi nalic,ba BIH,"MF,FW",Almere City,26,1997,7.7,1,0,1.0,0.3,15,4,158,229,69.0,11,9,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,adi nalic,adi nalic,almere city,1997,1997.0,,,nan,,
adrian blake,eng ENG,"FW,MF",Utrecht,19,2005,5.2,3,2,0.8,2.0,16,6,115,159,72.33,15,7,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,adrian blake,adrian blake,utrecht,2005,2005.0,1300000,875581,2005-07-15,20,first+last+birth_year
ahmetcan kaplan,tr TUR,DF,Ajax,21,2003,6.2,0,0,0.4,0.1,4,1,463,503,92.05,15,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,ahmetcan kaplan,ahmetcan kaplan,ajax,2003,2003.0,5000000,662131,2003-01-16,22,first+last+birth_year
alec van hoorenbeeck,be BEL,DF,Twente,25,1998,12.4,2,0,1.4,0.4,10,3,722,825,87.52,16,14,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,alec van hoorenbeeck,alec hoorenbeeck,twente,1998,1998.0,800000,405892,1998-12-30,26,first+last+birth_year
alen halilovic,hr CRO,"MF,FW",Fortuna Sittard,28,1996,19.7,2,3,4.4,2.8,43,12,538,676,79.59,24,13,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,alen halilovic,alen halilovic,fortuna sittard,1996,1996.0,1000000,226074,1996-06-18,29,key+birth_year
alessio da cruz,cv CPV,FW,Fortuna Sittard,27,1997,13.2,4,1,4.8,0.9,24,11,151,201,75.12,11,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,alessio da cruz,alessio cruz,fortuna sittard,1997,1997.0,,,nan,,
