Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,dob_fb,birth_year_fb,market_value_eur,player_id,dob,age,join_method
aaron cresswell,eng ENG,DF,West Ham,34,1989,9.2,0,0,0.2,1.3,5,0,504,610,82.62,11,7,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,aaron cresswell,aaron cresswell,west ham,1989,1989.0,500000,92571,1989-12-15,35,first+last+birth_year
aaron ramsdale,eng ENG,GK,Southampton,26,1998,30.0,0,0,0.0,0.0,0,0,774,1223,63.29,0,0,0,2,66.0,2.2,188.0,120.0,67.6,3.0,10.0,7.0,5.0,2.0,0.0,63.5,0.32,-2.5,-0.08,196.0,605.0,32.4,1026.0,129.0,44.6,36.0,25.0,5.5,20.0,0.67,11.7,True,26.0,aaron ramsdale,aaron ramsdale,southampton,1998,1998.0,16000000,427568,1998-05-14,27,first+last+birth_year
aaron wan-bissaka,cd COD,DF,West Ham,26,1997,35.0,2,5,1.2,3.5,16,5,1472,1815,81.1,70,49,37,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0,aaron wan bissaka,aaron bissaka,west ham,1997,1997.0,24000000,477758,1997-11-26,27,first+last+birth_year
abdoulaye doucoure,ml MLI,MF,Everton,31,1993,28.5,3,2,4.1,2.4,31,9,725,903,80.29,48,28,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,abdoulaye doucoure,abdoulaye doucoure,everton,1993,1993.0,7000000,127187,1993-01-01,32,first+last+birth_year
abdukodir khusanov,uz UZB,DF,Manchester City,20,2004,5.6,0,0,0.0,0.1,1,0,360,395,91.14,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,abdukodir khusanov,abdukodir khusanov,manchester city,2004,2004.0,35000000,763079,2004-02-29,21,key+birth_year
abdul fatawu issahaku,gh GHA,FW,Leicester City,20,2004,6.4,0,2,0.4,1.6,13,5,123,197,62.44,21,15,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,abdul fatawu issahaku,abdul issahaku,leicester city,2004,2004.0,11000000,864121,2004-03-08,21,fuzzy_club(100.0)
adam armstrong,eng ENG,"FW,MF",Southampton,27,1997,13.9,2,2,3.3,1.2,25,7,231,288,80.21,12,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,adam armstrong,adam armstrong,southampton,1997,1997.0,12000000,250426,1997-02-10,28,first+last+birth_year
adam lallana,eng ENG,MF,Southampton,36,1988,4.0,0,2,0.2,0.9,3,0,221,260,85.0,8,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0,adam lallana,adam lallana,southampton,1988,1988.0,750000,43530,1988-05-10,37,first+last+birth_year
adam smith,eng ENG,DF,Bournemouth,33,1991,17.7,0,0,0.7,0.4,3,0,514,679,75.7,24,12,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,adam smith,adam smith,bournemouth,1991,1991.0,750000,61841,1991-04-29,34,first+last+birth_year
adam webster,eng ENG,DF,Brighton,29,1995,9.9,0,0,0.2,0.5,5,1,636,725,87.72,10,6,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0,adam webster,adam webster,brighton,1995,1995.0,11000000,212847,1995-01-04,30,first+last+birth_year
