Player;Nation;Pos;Squad;Age;Born;MatchesPlayed;Gls;Ast;xG;xAG;Shots;SoT;PassCmp;PassAtt;PassCmpPct;Tkl;TklW;Blocks;Int;GK_GA;GK_GA90;GK_SoTA;GK_Saves;GK_SavePct;GK_CS;GK_CSPct;GK_PKAtt;GK_PKA;GK_PKsv;GK_PKm;GK_PSxG;GK_PSxG_per_SoT;GK_PSxG_PlusMinus;GK_PSxG_PlusMinus_per90;GK_PassCmp;GK_PassAtt;GK_PassCmpPct;GK_GKPassAtt;GK_Throws;GK_LaunchPct;GK_AvgLen;GK_CrossesStp;GK_CrossesStpPct;GK_OPA;GK_OPA90;GK_OPA_AvgDist;IsGK;AgeYears;player_norm;player_fl;club_norm;dob_fb;birth_year_fb;market_value_eur;player_id;dob;age;join_method
abdoulay diaby;ml MLI;FW,MF;Boavista;33;1991;9.9;1;1;2.6;0.4;19;11;146;211;69.19;4;3;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;33.0;abdoulay diaby;abdoulay diaby;boavista;1991;1991;200000;148396;21/5/1991;34;first+last+birth_year
aderlan santos;br BRA;DF;AVS Futebol;35;1989;6.6;0;0;0.0;0.0;1;0;152;189;80.42;7;6;15;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;35.0;aderlan santos;aderlan santos;avs futebol;1989;1989;100000;159142;9/4/1989;36;fuzzy_club(96.55172413793103)
adrian bajrami;ch SUI;DF;Benfica;22;2002;0.1;0;0;0.0;0.0;0;0;8;12;66.67;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;22.0;adrian bajrami;adrian bajrami;benfica;2002;2002;1500000;582987;5/4/2002;23;first+last+birth_year
adrian butzke;es ESP;FW;Nacional;25;1999;5.4;0;1;1.7;0.4;19;5;72;109;66.06;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;25.0;adrian butzke;adrian butzke;nacional;1999;1999;300000;596884;30/3/1999;26;first+last+birth_year
adrian marin;es ESP;DF;Braga;27;1997;7.9;0;2;0.0;0.7;0;0;464;576;80.56;18;6;9;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;27.0;adrian marin;adrian marin;braga;1997;1997;1500000;295414;9/1/1997;28;first+last+birth_year
adriano;br BRA;MF;Santa Clara;24;1999;29.2;0;2;1.0;2.7;13;4;1004;1193;84.16;38;18;25;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;24.0;adriano;adriano;santa clara;1999;1999;2500000;687743;4/11/1999;25;fuzzy_global(100.0)
afonso assis;pt POR;MF;Moreirense;18;2006;0.2;0;0;0.0;0.0;0;0;3;4;75.0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;18.0;afonso assis;afonso assis;moreirense;2006;2006;100000;1365020;15/7/2006;18;first+last+birth_year
afonso freitas;pt POR;DF;Nacional;24;2000;0.2;0;0;0.0;0.0;0;0;4;5;80.0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;24.0;afonso freitas;afonso freitas;nacional;2000;2000;400000;448264;7/4/2000;25;first+last+birth_year
afonso moreira;pt POR;FW;Sporting CP;19;2005;0.0;0;0;0.0;0.0;0;0;0;0;0.0;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;19.0;afonso moreira;afonso moreira;sporting cp;2005;2005;400000;952282;19/3/2005;20;first+last+birth_year
afonso patrao;pt POR;FW;Braga;17;2007;2.7;1;1;0.5;0.5;3;1;34;46;73.91;2;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;17.0;afonso patrao;afonso patrao;braga;2007;2007;2000000;1006449;3/2/2007;18;first+last+birth_year
afonso rodrigues;pt POR;MF,FW;Famalicão;21;2002;0.1;0;0;0.1;0.0;1;0;2;5;40.0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;21.0;afonso rodrigues;afonso rodrigues;famalicao;2002;2002;350000;927644;19/8/2002;22;first+last+birth_year
alan;br BRA;MF;Moreirense;24;2000;27.9;7;6;6.1;4.1;38;15;995;1237;80.44;28;12;14;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;24.0;alan;alan;moreirense;2000;2000;4000000;428786;8/3/2000;25;first+last+birth_year
alan ruiz;ar ARG;MF,FW;Estrela;30;1993;16.3;1;2;1.4;1.8;20;4;542;761;71.22;31;19;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;30.0;alan ruiz;alan ruiz;estrela;1993;1993;400000;190442;19/8/1993;31;first+last+birth_year
alan varela;ar ARG;MF;Porto;23;2001;24.4;0;2;0.7;1.2;15;5;1350;1561;86.48;40;20;21;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;23.0;alan varela;alan varela;porto;2001;2001;32000000;756990;4/7/2001;23;first+last+birth_year
alberto costa;pt POR;DF;Vitória;20;2003;7.5;0;2;0.2;1.5;7;0;290;389;74.55;24;16;17;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;20.0;alberto costa;alberto costa;vitoria;2003;2003;10000000;877139;29/9/2003;21;first+last+birth_year
alejandro marques;ve VEN;FW;Estoril;23;2000;18.8;11;0;8.3;0.5;32;11;166;241;68.88;6;4;15;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;23.0;alejandro marques;alejandro marques;estoril;2000;2000;2500000;525602;4/8/2000;24;first+last+birth_year
alex bermejo;es ESP;MF,FW;Farense;25;1998;6.6;1;0;1.9;0.4;15;4;132;197;67.01;9;5;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;25.0;alex bermejo;alex bermejo;farense;1998;1998;400000;473695;11/12/1998;26;first+last+birth_year
alex marques;pt POR;DF;Boavista;18;2005;1.1;0;0;0.0;0.0;0;0;38;49;77.55;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;18.0;alex marques;alex marques;boavista;2005;2005;100000;1294048;23/10/2005;19;first+last+birth_year
alex millan;es ESP;FW,MF;Farense;24;1999;4.5;0;0;0.1;0.1;1;0;37;57;64.91;3;0;7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;24.0;alex millan;alex millan;farense;1999;1999;500000;412041;7/11/1999;25;first+last+birth_year
alexander bah;dk DEN;DF;Benfica;26;1997;15.7;0;1;1.0;1.2;11;1;770;990;77.78;49;34;19;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;26.0;alexander bah;alexander bah;benfica;1997;1997;10000000;452607;9/12/1997;27;first+last+birth_year
