player_id,player_name,club,Nation,Pos,dob,age,market_value_eur,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK
325443.0,viktor gyokeres,sporting cp,se SWE,FW,4/6/1998,27.0,75000000.0,31.2,39,7,30.8,7.1,127,66,506,709,71.37,9,5,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
461496.0,morten hjulmand,sporting cp,dk DEN,MF,25/6/1999,26.0,50000000.0,24.6,2,2,2.0,1.8,16,6,1382,1536,89.97,54,37,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
549006.0,goncalo inacio,sporting cp,pt POR,DF,25/8/2001,23.0,45000000.0,25.1,3,2,2.6,0.8,17,5,1879,2095,89.69,40,23,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
974982.0,ousmane diomande,sporting cp,ci CIV,DF,4/12/2003,21.0,45000000.0,28.0,2,0,1.7,0.6,31,7,1984,2122,93.5,36,22,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
1138758.0,geovany quenda,sporting cp,pt POR,"MF,DF",30/4/2007,18.0,45000000.0,25.0,2,4,3.4,4.8,44,13,904,1197,75.52,22,14,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
957653.0,rodrigo mora,porto,pt POR,"MF,FW",5/5/2007,18.0,40000000.0,15.2,10,4,4.7,1.5,44,17,344,447,76.96,19,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
357153.0,diogo costa,porto,pt POR,GK,19/9/1999,25.0,40000000.0,32.0,0,0,0.0,0.0,0,0,1016,1222,83.14,0,0,0,0,27.0,0.84,85.0,57.0,74.1,16.0,50.0,7.0,5.0,2.0,0.0,29.2,0.28,3.2,0.1,132.0,305.0,43.3,1072.0,139.0,23.3,29.2,19.0,6.1,51.0,1.59,18.5,True
324503.0,vangelis pavlidis,benfica,gr GRE,FW,21/11/1998,26.0,35000000.0,25.1,19,7,18.6,5.5,81,34,416,571,72.85,17,10,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
811778.0,alvaro carreras,benfica,es ESP,DF,23/3/2003,22.0,35000000.0,30.5,3,1,1.3,3.0,19,5,1662,2052,80.99,63,38,24,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
711337.0,evanilson,porto,br BRA,FW,6/10/1999,25.0,35000000.0,0.1,0,0,0.0,0.0,0,0,2,4,50.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
