Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,dob_fb,birth_year_fb,market_value_eur,player_id,dob,age,join_method
abdelhamid sabiri,ma MAR,MF,Al-Taawoun,27,1996,8.3,2,1,25,7,0.0,0.0,0.0,0.0,10,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,abdelhamid sabiri,abdelhamid sabiri,al taawoun,1996,1996.0,,,nan,,
abdelkader bedrane,dz ALG,DF,Damac,32,1992,29.9,0,2,18,1,0.0,0.0,0.0,0.0,31,0.0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.0,abdelkader bedrane,abdelkader bedrane,damac,1992,1992.0,500000,376649,1992-04-02,33,first+last+birth_year
abderrazak hamdallah,ma MAR,FW,Al-Shabab,33,1990,25.2,21,2,90,38,0.0,0.0,0.0,0.0,8,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0,abderrazak hamdallah,abderrazak hamdallah,al shabab,1990,1990.0,1800000,235052,1990-12-17,34,first+last+birth_year
abdulaziz al elewai,sa KSA,MF,Al-Ettifaq,20,2004,0.3,0,0,1,0,0.0,0.0,0.0,0.0,2,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,abdulaziz al elewai,abdulaziz elewai,al ettifaq,2004,2004.0,,,nan,,
abdulaziz al othman,sa KSA,"MF,FW",Al-Qadsiah,20,2004,9.5,4,0,21,8,0.0,0.0,0.0,0.0,6,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0,abdulaziz al othman,abdulaziz othman,al qadsiah,2004,2004.0,250000,1208196,2004-01-02,21,first+last+birth_year
abdulaziz al-bishi,sa KSA,MF,Al-Ittihad,30,1994,1.3,0,0,2,2,0.0,0.0,0.0,0.0,2,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,abdulaziz al bishi,abdulaziz bishi,al ittihad,1994,1994.0,400000,153350,1994-03-11,31,first+last+birth_year
abdulaziz hadhood,sa KSA,FW,Al-Hilal,19,2005,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0,abdulaziz hadhood,abdulaziz hadhood,al hilal,2005,2005.0,,,nan,,
abdulaziz hetalh,sa KSA,"MF,FW",Al Okhdood SC,25,1999,5.4,0,0,15,2,0.0,0.0,0.0,0.0,6,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,abdulaziz hetalh,abdulaziz hetalh,al okhdood sc,1999,1999.0,,,nan,,
abdulaziz masnom,ye YEM,FW,Al-Orobah,18,2006,0.8,0,0,2,0,0.0,0.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,abdulaziz masnom,abdulaziz masnom,al orobah,2006,2006.0,,,nan,,
abdulaziz noor,sa KSA,"FW,MF",Al-Wehda,25,1999,12.5,7,0,41,16,0.0,0.0,0.0,0.0,6,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0,abdulaziz noor,abdulaziz noor,al wehda,1999,1999.0,650000,1058345,1999-01-18,26,first+last+birth_year
