Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,player_norm,player_fl,club_norm,birth_year_fb,market_value_eur,player_id,dob,age,join_method
aaron anselmino,ar ARG,DF,Boca Juniors,18,2005,9.7,0,3,0.0,1.8,0,0,455,527,86.34,26,17,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,aaron anselmino,aaron anselmino,boca juniors,2005,,,nan,,
aaron nicolas molinas,ar ARG,"MF,FW",Defensa y Just,23,2000,17.4,5,4,4.2,2.5,36,21,657,848,77.48,21,11,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,aaron nicolas molinas,aaron molinas,defensa y justicia,2000,3000000,575999,2000-08-02,25,first+last+club+birth_year
aaron quiros,ar ARG,DF,Banfield,22,2001,5.0,0,0,0.1,0.0,2,1,128,182,70.33,3,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,aaron quiros,aaron quiros,banfield,2001,2700000,881010,2001-10-31,23,first+last+birth_year
abiel osorio,ar ARG,FW,Defensa y Just,21,2002,10.7,4,0,3.6,0.8,30,11,171,220,77.73,8,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,abiel osorio,abiel osorio,defensa y justicia,2002,1500000,991773,2002-06-13,23,key+birth_year
adam bareiro,py PAR,FW,San Lorenzo,27,1996,2.5,0,0,0.6,0.3,3,1,30,43,69.77,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,adam bareiro,adam bareiro,san lorenzo,1996,,,nan,,
adrian balboa,uy URU,FW,Unión,30,1994,23.4,5,2,6.6,1.8,66,19,257,403,63.77,22,16,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,adrian balboa,adrian balboa,union,1994,800000,252209,1994-01-19,31,first+last+birth_year
adrian guillermo sanchez,ar ARG,MF,Atlé Tucumán,24,1999,24.9,0,0,0.5,1.2,14,1,933,1193,78.21,77,42,42,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,adrian guillermo sanchez,adrian sanchez,atle tucuman,1999,1800000,744279,1999-05-14,26,first+last+birth_year
adrian martinez,ar ARG,FW,Racing Club,31,1992,15.9,7,3,9.2,2.1,48,19,145,233,62.23,11,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,adrian martinez,adrian martinez,racing club,1992,3500000,598769,1992-07-07,33,key+birth_year
adrian sporle,ar ARG,DF,Independiente,28,1995,12.1,0,0,0.3,0.8,6,4,449,637,70.49,26,18,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,adrian sporle,adrian sporle,independiente,1995,250000,440371,1995-07-13,30,first+last+birth_year
agustin almendra,ar ARG,MF,Racing Club,23,2000,13.5,2,2,1.3,0.9,22,8,486,621,78.26,49,29,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin almendra,agustin almendra,racing club,2000,2800000,491698,2000-02-11,25,key+birth_year
agustin baldi,ar ARG,DF,Belgrano,21,2002,5.8,0,0,0.1,0.1,3,0,214,280,76.43,7,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,agustin baldi,agustin baldi,belgrano,2002,225000,697644,2002-05-11,23,key+birth_year
agustin bolivar,ar ARG,MF,Gimnasia–LP,28,1996,2.3,0,0,0.0,0.0,2,0,66,82,80.49,10,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,agustin bolivar,agustin bolivar,gimnasia lp,1996,,,nan,,
