name,Pos,Squad,Age,dob,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears,name_norm,dob_key,k1,tm_player_id,market_value_eur,last_update,nationality,fuzzy_score,player_uuid
aaron anselmino,DF,Boca Juniors,18,2005,9.7,0,3,0.0,1.8,0,0,455,527,86.34,26,17,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0,aaron anselmino,2005,aaron anselmino|2005,,,,ar ARG,,aaron anselmino|2005
aaron nicolas molinas,"MF,FW",Defensa y Just,23,2000,17.4,5,4,4.2,2.5,36,21,657,848,77.48,21,11,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,aaron nicolas molinas,2000,aaron nicolas molinas|2000,,,,ar ARG,,aaron nicolas molinas|2000
aaron quiros,DF,Banfield,22,2001,5.0,0,0,0.1,0.0,2,1,128,182,70.33,3,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0,aaron quiros,2001,aaron quiros|2001,881010.0,2700000.0,2025-10-17,ar ARG,100.0,aaron quiros|2001
abiel osorio,FW,Defensa y Just,21,2002,10.7,4,0,3.6,0.8,30,11,171,220,77.73,8,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,abiel osorio,2002,abiel osorio|2002,991773.0,1500000.0,2025-10-17,ar ARG,100.0,abiel osorio|2002
adam bareiro,FW,San Lorenzo,27,1996,2.5,0,0,0.6,0.3,3,1,30,43,69.77,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0,adam bareiro,1996,adam bareiro|1996,,,,py PAR,,adam bareiro|1996
adrian balboa,FW,Unión,30,1994,23.4,5,2,6.6,1.8,66,19,257,403,63.77,22,16,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0,adrian balboa,1994,adrian balboa|1994,252209.0,800000.0,2025-10-17,uy URU,100.0,adrian balboa|1994
adrian guillermo sanchez,MF,Atlé Tucumán,24,1999,24.9,0,0,0.5,1.2,14,1,933,1193,78.21,77,42,42,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0,adrian guillermo sanchez,1999,adrian guillermo sanchez|1999,,,,ar ARG,,adrian guillermo sanchez|1999
adrian martinez,FW,Racing Club,31,1992,15.9,7,3,9.2,2.1,48,19,145,233,62.23,11,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0,adrian martinez,1992,adrian martinez|1992,598769.0,3500000.0,2025-10-17,ar ARG,100.0,adrian martinez|1992
adrian sporle,DF,Independiente,28,1995,12.1,0,0,0.3,0.8,6,4,449,637,70.49,26,18,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0,adrian sporle,1995,adrian sporle|1995,440371.0,250000.0,2025-10-17,ar ARG,100.0,adrian sporle|1995
agustin almendra,MF,Racing Club,23,2000,13.5,2,2,1.3,0.9,22,8,486,621,78.26,49,29,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0,agustin almendra,2000,agustin almendra|2000,491698.0,2800000.0,2025-10-17,ar ARG,100.0,agustin almendra|2000
agustin baldi,DF,Belgrano,21,2002,5.8,0,0,0.1,0.1,3,0,214,280,76.43,7,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0,agustin baldi,2002,agustin baldi|2002,697644.0,225000.0,2025-10-17,ar ARG,100.0,agustin baldi|2002
