Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears
aaron cresswell,eng ENG,DF,West Ham,34,1989,9.2,0,0,0.2,1.3,5,0,504,610,82.62,11,7,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0
aaron ramsdale,eng ENG,GK,Southampton,26,1998,30.0,0,0,0.0,0.0,0,0,774,1223,63.29,0,0,0,2,66.0,2.2,188.0,120.0,67.6,3.0,10.0,7.0,5.0,2.0,0.0,63.5,0.32,-2.5,-0.08,196.0,605.0,32.4,1026.0,129.0,44.6,36.0,25.0,5.5,20.0,0.67,11.7,True,26.0
aaron wan-bissaka,cd COD,DF,West Ham,26,1997,35.0,2,5,1.2,3.5,16,5,1472,1815,81.1,70,49,37,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.0
abdoulaye doucoure,ml MLI,MF,Everton,31,1993,28.5,3,2,4.1,2.4,31,9,725,903,80.29,48,28,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0
abdukodir khusanov,uz UZB,DF,Manchester City,20,2004,5.6,0,0,0.0,0.1,1,0,360,395,91.14,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
abdul fatawu issahaku,gh GHA,FW,Leicester City,20,2004,6.4,0,2,0.4,1.6,13,5,123,197,62.44,21,15,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
adam armstrong,eng ENG,"FW,MF",Southampton,27,1997,13.9,2,2,3.3,1.2,25,7,231,288,80.21,12,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,27.0
adam lallana,eng ENG,MF,Southampton,36,1988,4.0,0,2,0.2,0.9,3,0,221,260,85.0,8,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,36.0
adam smith,eng ENG,DF,Bournemouth,33,1991,17.7,0,0,0.7,0.4,3,0,514,679,75.7,24,12,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.0
adam webster,eng ENG,DF,Brighton,29,1995,9.9,0,0,0.2,0.5,5,1,636,725,87.72,10,6,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,29.0
adam wharton,eng ENG,MF,Crystal Palace,20,2004,14.6,0,2,0.4,3.0,13,5,548,725,75.59,34,14,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
adama traore,es ESP,"FW,MF",Fulham,28,1996,19.7,2,7,4.0,4.9,39,12,424,587,72.23,20,13,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0
albert grnbaek,dk DEN,"FW,MF",Southampton,23,2001,1.6,0,0,0.1,0.0,2,0,13,18,72.22,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0
alejandro garnacho,ar ARG,"MF,FW",Manchester Utd,20,2004,24.4,6,2,7.3,4.5,84,29,649,823,78.86,30,18,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
alex iwobi,ng NGA,"FW,MF",Fulham,28,1996,33.1,9,6,4.7,7.0,68,29,1150,1532,75.07,44,25,26,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,28.0
alex mccarthy,eng ENG,GK,Southampton,34,1989,5.0,0,0,0.0,0.0,0,0,117,156,75.0,0,0,0,0,13.0,2.6,37.0,24.0,70.3,0.0,0.0,2.0,2.0,0.0,0.0,12.6,0.29,-0.4,-0.07,24.0,52.0,46.2,132.0,29.0,33.3,29.5,8.0,10.8,0.0,0.0,6.5,True,34.0
alex moreno,es ESP,"DF,MF",Nott'ham Forest,31,1993,10.6,0,1,0.2,1.3,6,0,308,428,71.96,25,18,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0
alex palmer,eng ENG,GK,Ipswich Town,27,1996,13.0,0,0,0.0,0.0,0,0,299,423,70.69,0,0,0,0,30.0,2.31,71.0,43.0,59.2,0.0,0.0,1.0,1.0,0.0,0.0,25.1,0.35,-2.9,-0.22,71.0,186.0,38.2,329.0,55.0,36.8,33.9,20.0,8.0,13.0,1.0,11.5,True,27.0
alex scott,eng ENG,MF,Bournemouth,20,2003,8.4,0,0,0.7,0.9,15,6,286,342,83.63,27,14,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
alexander isak,se SWE,FW,Newcastle Utd,24,1999,30.6,23,6,20.3,4.3,95,41,519,689,75.33,12,5,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
alexis mac allister,ar ARG,MF,Liverpool,25,1998,28.9,5,5,2.8,4.7,38,13,1273,1524,83.53,95,58,61,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,25.0
alfie dorrington,eng ENG,DF,Tottenham,19,2005,0.2,0,0,0.0,0.0,0,0,15,16,93.75,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
alfie pond,eng ENG,DF,Wolves,20,2004,0.0,0,0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
ali al hamadi,iq IRQ,FW,Ipswich Town,22,2002,1.5,0,0,0.4,0.1,4,0,25,30,83.33,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
alisson,br BRA,GK,Liverpool,31,1992,27.9,0,0,0.0,0.6,0,0,794,959,82.79,1,0,0,0,29.0,1.04,100.0,73.0,72.0,9.0,32.1,1.0,1.0,0.0,0.0,30.5,0.3,3.5,0.13,68.0,203.0,33.5,877.0,128.0,19.7,26.6,11.0,4.3,49.0,1.76,16.0,True,31.0
