name,dob,position,team,age_years,is_gk,season,league_code,player_id_fb,name_norm,dob_key,k1,tm_player_id,market_value_eur,last_update,nationality,fuzzy_score,player_uuid
aaron anselmino,2005,DF,Boca Juniors,18.0,False,2024,ARG1,,aaron anselmino,2005,aaron anselmino|2005,1145504.0,8000000.0,,ar ARG,100.0,aaron anselmino|2005
aaron nicolas molinas,2000,"MF,FW",Defensa y Just,23.0,False,2024,ARG1,,aaron nicolas molinas,2000,aaron nicolas molinas|2000,,,,ar ARG,,aaron nicolas molinas|2000
aaron quiros,2001,DF,Banfield,22.0,False,2024,ARG1,,aaron quiros,2001,aaron quiros|2001,,,,ar ARG,,aaron quiros|2001
abiel osorio,2002,FW,Defensa y Just,21.0,False,2024,ARG1,,abiel osorio,2002,abiel osorio|2002,,,,ar ARG,,abiel osorio|2002
adam bareiro,1996,FW,San Lorenzo,27.0,False,2024,ARG1,,adam bareiro,1996,adam bareiro|1996,514120.0,5000000.0,,py PAR,100.0,adam bareiro|1996
adrian balboa,1994,FW,Unión,30.0,False,2024,ARG1,,adrian balboa,1994,adrian balboa|1994,252209.0,750000.0,,uy URU,100.0,adrian balboa|1994
adrian guillermo sanchez,1999,MF,Atlé Tucumán,24.0,False,2024,ARG1,,adrian guillermo sanchez,1999,adrian guillermo sanchez|1999,,,,ar ARG,,adrian guillermo sanchez|1999
adrian martinez,1992,FW,Racing Club,31.0,False,2024,ARG1,,adrian martinez,1992,adrian martinez|1992,,,,ar ARG,,adrian martinez|1992
adrian sporle,1995,DF,Independiente,28.0,False,2024,ARG1,,adrian sporle,1995,adrian sporle|1995,440371.0,325000.0,,ar ARG,100.0,adrian sporle|1995
agustin almendra,2000,MF,Racing Club,23.0,False,2024,ARG1,,agustin almendra,2000,agustin almendra|2000,,,,ar ARG,,agustin almendra|2000
agustin baldi,2002,DF,Belgrano,21.0,False,2024,ARG1,,agustin baldi,2002,agustin baldi|2002,,,,ar ARG,,agustin baldi|2002
agustin bolivar,1996,MF,Gimnasia–LP,28.0,False,2024,ARG1,,agustin bolivar,1996,agustin bolivar|1996,,,,ar ARG,,agustin bolivar|1996
agustin bouzat,1994,"MF,DF",Vélez Sarsfield,29.0,False,2024,ARG1,,agustin bouzat,1994,agustin bouzat|1994,,,,ar ARG,,agustin bouzat|1994
agustin cardozo,1997,MF,Tigre,26.0,False,2024,ARG1,,agustin cardozo,1997,agustin cardozo|1997,,,,ar ARG,,agustin cardozo|1997
agustin fontana,1996,FW,Sarmiento,27.0,False,2024,ARG1,,agustin fontana,1996,agustin fontana|1996,,,,ar ARG,,agustin fontana|1996
agustin garcia basso,1992,DF,Racing Club,31.0,False,2024,ARG1,,agustin garcia basso,1992,agustin garcia basso|1992,,,,ar ARG,,agustin garcia basso|1992
agustin giay,2004,DF,San Lorenzo,20.0,False,2024,ARG1,,agustin giay,2004,agustin giay|2004,,,,ar ARG,,agustin giay|2004
agustin irazoque,1999,DF,Barracas Central,24.0,False,2024,ARG1,,agustin irazoque,1999,agustin irazoque|1999,,,,ar ARG,,agustin irazoque|1999
agustin juarez,2005,"FW,MF",Newell's OB,18.0,False,2024,ARG1,,agustin juarez,2005,agustin juarez|2005,,,,ar ARG,,agustin juarez|2005
agustin lagos,2001,DF,Atlé Tucumán,22.0,False,2024,ARG1,,agustin lagos,2001,agustin lagos|2001,,,,ar ARG,,agustin lagos|2001
agustin martegani,2000,MF,Boca Juniors,23.0,False,2024,ARG1,,agustin martegani,2000,agustin martegani|2000,732507.0,1800000.0,,ar ARG,100.0,agustin martegani|2000
agustin modica,2003,FW,Rosario Central,21.0,False,2024,ARG1,,agustin modica,2003,agustin modica|2003,,,,ar ARG,,agustin modica|2003
agustin morales,1999,"FW,DF",Cen. Córdoba–SdE,24.0,False,2024,ARG1,,agustin morales,1999,agustin morales|1999,,,,ar ARG,,agustin morales|1999
agustin mulet,2000,MF,Ind. Rivadavia,23.0,False,2024,ARG1,,agustin mulet,2000,agustin mulet|2000,,,,ar ARG,,agustin mulet|2000
agustin obando,2000,"MF,FW",Banfield,23.0,False,2024,ARG1,,agustin obando,2000,agustin obando|2000,,,,ar ARG,,agustin obando|2000
agustin palavecino,1996,MF,River Plate,27.0,False,2024,ARG1,,agustin palavecino,1996,agustin palavecino|1996,,,,ar ARG,,agustin palavecino|1996
agustin quiroga,2002,DF,Platense,21.0,False,2024,ARG1,,agustin quiroga,2002,agustin quiroga|2002,,,,ar ARG,,agustin quiroga|2002
agustin rodriguez,2004,"FW,MF",Lanús,19.0,False,2024,ARG1,,agustin rodriguez,2004,agustin rodriguez|2004,,,,ar ARG,,agustin rodriguez|2004
agustin ruberto,2006,"FW,MF",River Plate,18.0,False,2024,ARG1,,agustin ruberto,2006,agustin ruberto|2006,,,,ar ARG,,agustin ruberto|2006
agustin sandez,2001,DF,Rosario Central,23.0,False,2024,ARG1,,agustin sandez,2001,agustin sandez|2001,,,,py PAR,,agustin sandez|2001
agustin sant'anna,1997,DF,River Plate,26.0,False,2024,ARG1,,agustin sant'anna,1997,agustin sant'anna|1997,,,,uy URU,,agustin sant'anna|1997
agustin toledo,2000,MF,Huracán,23.0,False,2024,ARG1,,agustin toledo,2000,agustin toledo|2000,,,,ar ARG,,agustin toledo|2000
agustin urzi,2000,"MF,FW",Racing Club,23.0,False,2024,ARG1,,agustin urzi,2000,agustin urzi|2000,,,,ar ARG,,agustin urzi|2000
agustin villalobos,2003,MF,Godoy Cruz,20.0,False,2024,ARG1,,agustin villalobos,2003,agustin villalobos|2003,,,,ar ARG,,agustin villalobos|2003
alan aguerre,1990,GK,Lanús,33.0,True,2024,ARG1,,alan aguerre,1990,alan aguerre|1990,,,,ar ARG,,alan aguerre|1990
alan barrionuevo,1997,DF,Deportivo Riestra,27.0,False,2024,ARG1,,alan barrionuevo,1997,alan barrionuevo|1997,,,,ar ARG,,alan barrionuevo|1997
alan cantero,1998,MF,Barracas Central,25.0,False,2024,ARG1,,alan cantero,1998,alan cantero|1998,,,,ar ARG,,alan cantero|1998
alan lescano,2001,"MF,FW",Arg Juniors,22.0,False,2024,ARG1,,alan lescano,2001,alan lescano|2001,,,,ar ARG,,alan lescano|2001
alan rodriguez,2000,"DF,MF",Rosario Central,23.0,False,2024,ARG1,,alan rodriguez,2000,alan rodriguez|2000,,,,py PAR,,alan rodriguez|2000
alan sonora,1998,"MF,FW",Huracán,25.0,False,2024,ARG1,,alan sonora,1998,alan sonora|1998,,,,us USA,,alan sonora|1998
alan sosa,1996,GK,Tigre,27.0,True,2024,ARG1,,alan sosa,1996,alan sosa|1996,,,,ar ARG,,alan sosa|1996
alejandro maciel,1997,DF,Banfield,26.0,False,2024,ARG1,,alejandro maciel,1997,alejandro maciel|1997,,,,ar ARG,,alejandro maciel|1997
alejandro martinez,1997,FW,Talleres,26.0,False,2024,ARG1,,alejandro martinez,1997,alejandro martinez|1997,,,,ar ARG,,alejandro martinez|1997
alejandro rebola,1988,DF,Belgrano,35.0,False,2024,ARG1,,alejandro rebola,1988,alejandro rebola|1988,,,,ar ARG,,alejandro rebola|1988
alejo sarco,2006,"FW,MF",Vélez Sarsfield,18.0,False,2024,ARG1,,alejo sarco,2006,alejo sarco|2006,1000675.0,800000.0,,ar ARG,100.0,alejo sarco|2006
alex juarez,2004,"MF,FW",Barracas Central,19.0,False,2024,ARG1,,alex juarez,2004,alex juarez|2004,,,,ar ARG,,alex juarez|2004
alex luna,2004,"FW,MF",Independiente,19.0,False,2024,ARG1,,alex luna,2004,alex luna|2004,,,,ar ARG,,alex luna|2004
alex vigo,1999,DF,Talleres,24.0,False,2024,ARG1,,alex vigo,1999,alex vigo|1999,,,,ar ARG,,alex vigo|1999
alexander diaz,2000,"MF,FW",Deportivo Riestra,24.0,False,2024,ARG1,,alexander diaz,2000,alexander diaz|2000,,,,ar ARG,,alexander diaz|2000
alexis canelo,1992,"FW,MF",Independiente,31.0,False,2024,ARG1,,alexis canelo,1992,alexis canelo|1992,,,,ar ARG,,alexis canelo|1992
alexis cuello,2000,FW,San Lorenzo,23.0,False,2024,ARG1,,alexis cuello,2000,alexis cuello|2000,,,,ar ARG,,alexis cuello|2000
alexis dominguez,1996,"FW,MF",Barracas Central,27.0,False,2024,ARG1,,alexis dominguez,1996,alexis dominguez|1996,524937.0,300000.0,,ar ARG,93.33333333333333,alexis dominguez|1996
alexis maldonado,1997,DF,Banfield,26.0,False,2024,ARG1,,alexis maldonado,1997,alexis maldonado|1997,,,,ar ARG,,alexis maldonado|1997
alexis manyoma,2003,"FW,MF",Estudiantes–LP,21.0,False,2024,ARG1,,alexis manyoma,2003,alexis manyoma|2003,,,,co COL,,alexis manyoma|2003
alexis segovia,2004,"MF,FW",Cen. Córdoba–SdE,19.0,False,2024,ARG1,,alexis segovia,2004,alexis segovia|2004,,,,ar ARG,,alexis segovia|2004
alexis soto,1993,DF,Defensa y Just,30.0,False,2024,ARG1,,alexis soto,1993,alexis soto|1993,,,,ar ARG,,alexis soto|1993
alvaro dionisio,1998,DF,Ind. Rivadavia,25.0,False,2024,ARG1,,alvaro dionisio,1998,alvaro dionisio|1998,,,,ar ARG,,alvaro dionisio|1998
alvaro montoro,2007,"MF,FW",Vélez Sarsfield,16.0,False,2024,ARG1,,alvaro montoro,2007,alvaro montoro|2007,,,,ar ARG,,alvaro montoro|2007
andres berizovsky,2004,DF,Defensa y Just,19.0,False,2024,ARG1,,andres berizovsky,2004,andres berizovsky|2004,,,,ar ARG,,andres berizovsky|2004
andres roa,1993,FW,Huracán,30.0,False,2024,ARG1,,andres roa,1993,andres roa|1993,304892.0,250000.0,,co COL,100.0,andres roa|1993
andres vombergar,1994,"FW,MF",San Lorenzo,29.0,False,2024,ARG1,,andres vombergar,1994,andres vombergar|1994,486926.0,3000000.0,,si SVN,100.0,andres vombergar|1994
angelo marchese,2004,DF,Tigre,19.0,False,2024,ARG1,,angelo marchese,2004,angelo marchese|2004,,,,ar ARG,,angelo marchese|2004
angelo martino,1998,DF,Newell's OB,25.0,False,2024,ARG1,,angelo martino,1998,angelo martino|1998,,,,ar ARG,,angelo martino|1998
anibal leguizamon,1992,DF,Belgrano,32.0,False,2024,ARG1,,anibal leguizamon,1992,anibal leguizamon|1992,,,,ar ARG,,anibal leguizamon|1992
antonio napolitano,1999,"DF,MF",Ind. Rivadavia,24.0,False,2024,ARG1,,antonio napolitano,1999,antonio napolitano|1999,,,,ar ARG,,antonio napolitano|1999
antony alonso,1998,FW,Deportivo Riestra,25.0,False,2024,ARG1,,antony alonso,1998,antony alonso|1998,,,,ar ARG,,antony alonso|1998
ariel gamarra,2003,MF,Arg Juniors,20.0,False,2024,ARG1,,ariel gamarra,2003,ariel gamarra|2003,,,,py PAR,,ariel gamarra|2003
ariel rojas,1986,MF,Belgrano,38.0,False,2024,ARG1,,ariel rojas,1986,ariel rojas|1986,,,,ar ARG,,ariel rojas|1986
armando mendez,1996,DF,Newell's OB,27.0,False,2024,ARG1,,armando mendez,1996,armando mendez|1996,,,,uy URU,,armando mendez|1996
augusto lotti,1996,"FW,MF",Lanús,27.0,False,2024,ARG1,,augusto lotti,1996,augusto lotti|1996,,,,it ITA,,augusto lotti|1996
augusto max,1992,MF,Gimnasia–LP,31.0,False,2024,ARG1,,augusto max,1992,augusto max|1992,149770.0,325000.0,,ar ARG,100.0,augusto max|1992
augusto schott,2000,DF,Newell's OB,24.0,False,2024,ARG1,,augusto schott,2000,augusto schott|2000,,,,ar ARG,,augusto schott|2000
augusto solari,1992,"FW,MF",Rosario Central,32.0,False,2024,ARG1,,augusto solari,1992,augusto solari|1992,282694.0,1500000.0,,ar ARG,100.0,augusto solari|1992
axel atum,2006,"FW,MF",Estudiantes–LP,18.0,False,2024,ARG1,,axel atum,2006,axel atum|2006,,,,ar ARG,,axel atum|2006
axel werner,1996,GK,Rosario Central,27.0,True,2024,ARG1,,axel werner,1996,axel werner|1996,236734.0,800000.0,,ar ARG,100.0,axel werner|1996
ayrton portillo,2000,"MF,DF",Defensa y Just,23.0,False,2024,ARG1,,ayrton portillo,2000,ayrton portillo|2000,,,,ar ARG,,ayrton portillo|2000
baltasar rodriguez,2003,"MF,FW",Racing Club,20.0,False,2024,ARG1,,baltasar rodriguez,2003,baltasar rodriguez|2003,,,,ar ARG,,baltasar rodriguez|2003
bautista barros schelotto,2000,DF,Platense,24.0,False,2024,ARG1,,bautista barros schelotto,2000,bautista barros schelotto|2000,,,,ar ARG,,bautista barros schelotto|2000
bautista kociubinski,2001,"MF,DF",Estudiantes–LP,22.0,False,2024,ARG1,,bautista kociubinski,2001,bautista kociubinski|2001,,,,ar ARG,,bautista kociubinski|2001
benjamin bosch,2005,"DF,FW",Vélez Sarsfield,18.0,False,2024,ARG1,,benjamin bosch,2005,benjamin bosch|2005,,,,ar ARG,,benjamin bosch|2005
benjamin dominguez,2003,FW,Gimnasia–LP,20.0,False,2024,ARG1,,benjamin dominguez,2003,benjamin dominguez|2003,,,,ar ARG,,benjamin dominguez|2003
benjamin schamine,2003,MF,Defensa y Just,20.0,False,2024,ARG1,,benjamin schamine,2003,benjamin schamine|2003,,,,ar ARG,,benjamin schamine|2003
bernardo benitez,2002,"MF,FW",Tigre,21.0,False,2024,ARG1,,bernardo benitez,2002,bernardo benitez|2002,,,,py PAR,,bernardo benitez|2002
blas armoa,2000,"FW,MF",Tigre,23.0,False,2024,ARG1,,blas armoa,2000,blas armoa|2000,,,,py PAR,,blas armoa|2000
blas riveros,1998,"DF,FW",Talleres,25.0,False,2024,ARG1,,blas riveros,1998,blas riveros|1998,401732.0,1000000.0,,py PAR,100.0,blas riveros|1998
braian aguirre,2000,DF,Lanús,23.0,False,2024,ARG1,,braian aguirre,2000,braian aguirre|2000,,,,ar ARG,,braian aguirre|2000
braian galvan,2000,"FW,MF",Banfield,23.0,False,2024,ARG1,,braian galvan,2000,braian galvan|2000,533566.0,1000000.0,,ar ARG,100.0,braian galvan|2000
braian rivero,1996,"MF,FW",Platense,27.0,False,2024,ARG1,,braian rivero,1996,braian rivero|1996,,,,ar ARG,,braian rivero|1996
braian romero,1991,FW,Vélez Sarsfield,32.0,False,2024,ARG1,,braian romero,1991,braian romero|1991,,,,ar ARG,,braian romero|1991
brandon oviedo,2005,DF,Banfield,19.0,False,2024,ARG1,,brandon oviedo,2005,brandon oviedo|2005,,,,ar ARG,,brandon oviedo|2005
brian aguirre,2003,"FW,MF",Boca Juniors,20.0,False,2024,ARG1,,brian aguirre,2003,brian aguirre|2003,,,,ar ARG,,brian aguirre|2003
brian alexis leizza,2000,DF,Tigre,23.0,False,2024,ARG1,,brian alexis leizza,2000,brian alexis leizza|2000,,,,ar ARG,,brian alexis leizza|2000
brian calderara,1998,DF,Newell's OB,25.0,False,2024,ARG1,,brian calderara,1998,brian calderara|1998,,,,ar ARG,,brian calderara|1998
brian cuello,1997,"MF,FW",Instituto,26.0,False,2024,ARG1,,brian cuello,1997,brian cuello|1997,,,,ar ARG,,brian cuello|1997
brian luciatti,1993,DF,Lanús,30.0,False,2024,ARG1,,brian luciatti,1993,brian luciatti|1993,,,,ar ARG,,brian luciatti|1993
brian salvareschi,1999,DF,Godoy Cruz,24.0,False,2024,ARG1,,brian salvareschi,1999,brian salvareschi|1999,,,,ar ARG,,brian salvareschi|1999
