player_uuid,name,dob,nationality,tm_player_id,market_value_eur,last_update,fuzzy_score
aaron anselmino|2005,aaron anselmino,2005,ar ARG,1145504.0,8000000.0,,100.0
aaron nicolas molinas|2000,aaron nicolas molinas,2000,ar ARG,,,,
aaron quiros|2001,aaron quiros,2001,ar ARG,,,,
abiel osorio|2002,abiel osorio,2002,ar ARG,,,,
adam bareiro|1996,adam bareiro,1996,py PAR,514120.0,5000000.0,,100.0
adrian balboa|1994,adrian balboa,1994,uy URU,252209.0,750000.0,,100.0
adrian guillermo sanchez|1999,adrian guillermo sanchez,1999,ar ARG,,,,
adrian martinez|1992,adrian martinez,1992,ar ARG,,,,
adrian sporle|1995,adrian sporle,1995,ar ARG,440371.0,325000.0,,100.0
agustin almendra|2000,agustin almendra,2000,ar ARG,,,,
agustin baldi|2002,agustin baldi,2002,ar ARG,,,,
agustin bolivar|1996,agustin bolivar,1996,ar ARG,,,,
agustin bouzat|1994,agustin bouzat,1994,ar ARG,,,,
agustin cardozo|1997,agustin cardozo,1997,ar ARG,,,,
agustin fontana|1996,agustin fontana,1996,ar ARG,,,,
agustin garcia basso|1992,agustin garcia basso,1992,ar ARG,,,,
agustin giay|2004,agustin giay,2004,ar ARG,,,,
agustin irazoque|1999,agustin irazoque,1999,ar ARG,,,,
agustin juarez|2005,agustin juarez,2005,ar ARG,,,,
agustin lagos|2001,agustin lagos,2001,ar ARG,,,,
agustin martegani|2000,agustin martegani,2000,ar ARG,732507.0,1800000.0,,100.0
agustin modica|2003,agustin modica,2003,ar ARG,,,,
agustin morales|1999,agustin morales,1999,ar ARG,,,,
agustin mulet|2000,agustin mulet,2000,ar ARG,,,,
agustin obando|2000,agustin obando,2000,ar ARG,,,,
agustin palavecino|1996,agustin palavecino,1996,ar ARG,,,,
agustin quiroga|2002,agustin quiroga,2002,ar ARG,,,,
agustin rodriguez|2004,agustin rodriguez,2004,ar ARG,,,,
agustin ruberto|2006,agustin ruberto,2006,ar ARG,,,,
agustin sandez|2001,agustin sandez,2001,py PAR,,,,
agustin sant'anna|1997,agustin sant'anna,1997,uy URU,,,,
agustin toledo|2000,agustin toledo,2000,ar ARG,,,,
agustin urzi|2000,agustin urzi,2000,ar ARG,,,,
agustin villalobos|2003,agustin villalobos,2003,ar ARG,,,,
alan aguerre|1990,alan aguerre,1990,ar ARG,,,,
alan barrionuevo|1997,alan barrionuevo,1997,ar ARG,,,,
alan cantero|1998,alan cantero,1998,ar ARG,,,,
alan lescano|2001,alan lescano,2001,ar ARG,,,,
alan rodriguez|2000,alan rodriguez,2000,py PAR,,,,
alan sonora|1998,alan sonora,1998,us USA,,,,
alan sosa|1996,alan sosa,1996,ar ARG,,,,
alejandro maciel|1997,alejandro maciel,1997,ar ARG,,,,
alejandro martinez|1997,alejandro martinez,1997,ar ARG,,,,
alejandro rebola|1988,alejandro rebola,1988,ar ARG,,,,
