tm_player_id,name,dob,nationality,tm_club_id,primary_position,sub_position,market_value_eur,last_update
10,Miroslav Klose,1978-06-09 00:00:00,Germany,398,Attack,Centre-Forward,1000000.0,
26,Roman Weidenfeller,1980-08-06 00:00:00,Germany,16,Goalkeeper,Goalkeeper,750000.0,
65,Dimitar Berbatov,1981-01-30 00:00:00,Bulgaria,1091,Attack,Centre-Forward,1000000.0,
77,Lúcio,1978-05-08 00:00:00,Brazil,506,Defender,Centre-Back,200000.0,
80,Tom Starke,1981-03-18 00:00:00,Germany,27,Goalkeeper,Goalkeeper,100000.0,
109,Dedê,1978-04-18 00:00:00,Brazil,825,Defender,Left-Back,400000.0,
123,Christoph Metzelder,1980-11-05 00:00:00,Germany,33,Defender,Centre-Back,1500000.0,
132,Tomas Rosicky,1980-10-04 00:00:00,Czech Republic,11,Midfield,Attacking Midfield,350000.0,
162,Marc Ziegler,1976-06-13 00:00:00,Germany,79,Goalkeeper,Goalkeeper,200000.0,
215,Roque Santa Cruz,1981-08-16 00:00:00,Paraguay,1084,Attack,Centre-Forward,250000.0,
258,Gerald Asamoah,1978-10-03 00:00:00,Germany,33,Attack,Centre-Forward,100000.0,
264,Tamás Hajnal,1981-03-15 00:00:00,Hungary,79,Midfield,Attacking Midfield,100000.0,
276,Sladan Peric,1982-04-15 00:00:00,Denmark,20100,Defender,Centre-Back,200000.0,
277,Sérgio da Silva Pinto,1980-10-16 00:00:00,Germany,3368,Midfield,Central Midfield,150000.0,
299,Fabian Ernst,,Germany,10484,Midfield,Defensive Midfield,1500000.0,
325,Tomas Ujfalusi,1978-03-24 00:00:00,Czech Republic,141,Defender,Centre-Back,300000.0,
332,Benjamin Köhler,1980-08-04 00:00:00,Germany,24,Midfield,Left Midfield,150000.0,
410,Sebastian Kehl,1980-02-13 00:00:00,Germany,16,Midfield,Defensive Midfield,1000000.0,
411,Levan Kobiashvili,1977-07-10 00:00:00,Georgia,44,Midfield,Left Midfield,400000.0,
447,Oka Nikolov,1974-05-25 00:00:00,North Macedonia,24,Goalkeeper,Goalkeeper,350000.0,
488,Gerhard Tremmel,1978-11-16 00:00:00,Germany,2288,Goalkeeper,Goalkeeper,250000.0,
532,Claudio Pizarro,1978-10-03 00:00:00,Peru,86,Attack,Centre-Forward,400000.0,
557,Simon Jentzsch,1976-05-04 00:00:00,Germany,167,Goalkeeper,Goalkeeper,300000.0,
568,Martin Stranzl,1980-06-16 00:00:00,Austria,18,Defender,Centre-Back,1000000.0,
597,Aleksandr Hleb,1981-05-01 00:00:00,Belarus,2696,Midfield,Attacking Midfield,150000.0,
598,Timo Hildebrand,1979-04-05 00:00:00,Germany,24,Goalkeeper,Goalkeeper,750000.0,
643,Christian Vander,1980-10-24 00:00:00,Germany,86,Goalkeeper,Goalkeeper,100000.0,
670,Martin Petrov,1979-01-15 00:00:00,Bulgaria,714,Attack,Left Winger,400000.0,
690,Ivan Klasnic,1980-01-29 00:00:00,Croatia,39,Attack,Centre-Forward,500000.0,
691,Simon Rolfes,1982-01-21 00:00:00,Germany,15,Midfield,Defensive Midfield,2000000.0,
735,Giuseppe Gemiti,1981-05-03 00:00:00,Germany,1210,Defender,Left-Back,75000.0,
755,Deniz Baris,1977-07-02 00:00:00,Turkey,589,Defender,Centre-Back,300000.0,
773,David Jarolim,1979-05-17 00:00:00,Czech Republic,14171,Midfield,Central Midfield,250000.0,
823,Hanno Balitsch,1981-01-02 00:00:00,Germany,4,Midfield,Defensive Midfield,200000.0,
831,Selim Teber,1981-03-07 00:00:00,Germany,1506,Midfield,Central Midfield,175000.0,
837,Thorben Marx,,Germany,18,Midfield,Defensive Midfield,300000.0,
886,Jens Langeneke,1977-03-29 00:00:00,Germany,38,Defender,Centre-Back,100000.0,
892,Heinz Müller,1978-05-30 00:00:00,Germany,39,Goalkeeper,Goalkeeper,200000.0,
933,Ugur Inceman,1981-05-25 00:00:00,Turkey,2293,Midfield,Central Midfield,50000.0,
992,Christian Weber,1983-09-15 00:00:00,Germany,38,Defender,Right-Back,50000.0,
1073,Manuel Friedrich,1979-09-13 00:00:00,Germany,16,Defender,Centre-Back,500000.0,
1075,Andriy Voronin,1979-07-21 00:00:00,Ukraine,121,Attack,Second Striker,500000.0,
1083,Julian de Guzmán,1981-03-25 00:00:00,Canada,128,Midfield,Defensive Midfield,250000.0,
1094,Emanuel Pogatetz,1983-01-16 00:00:00,Austria,4,Defender,Centre-Back,200000.0,
1095,Peer Kluge,1980-11-22 00:00:00,Germany,44,Midfield,Defensive Midfield,125000.0,
1116,Thomas Kleine,1977-12-28 00:00:00,Germany,65,Defender,Centre-Back,250000.0,
1122,Sven Neuhaus,1978-04-04 00:00:00,Germany,41,Goalkeeper,Goalkeeper,200000.0,
1126,Matthias Lehmann,1983-05-28 00:00:00,Germany,3,Midfield,Defensive Midfield,250000.0,
1139,Nikolce Noveski,1979-04-28 00:00:00,North Macedonia,39,Defender,Centre-Back,500000.0,
1144,Christofer Heimeroth,1981-08-01 00:00:00,Germany,18,Goalkeeper,Goalkeeper,100000.0,
1150,Raphael Schäfer,1979-01-30 00:00:00,Germany,4,Goalkeeper,Goalkeeper,200000.0,
1161,Javier Zanetti,1973-08-10 00:00:00,Argentina,46,Defender,Right-Back,1000000.0,
1197,Peter Graulund,1976-09-20 00:00:00,Denmark,678,Attack,Centre-Forward,250000.0,
1257,Michael Ratajczak,1982-04-16 00:00:00,Germany,127,Goalkeeper,Goalkeeper,50000.0,
