player_name,club_name,market_value_eur,player_id,dob,age
Federico Losas,Club Atlético Platense,100000,661127,2002-03-28,23
Andrés Desábato,Club Atlético Platense,50000,596908,1990-03-30,35
Ignacio Vázquez,Club Atlético Platense,3000000,552635,1997-06-15,28
Oscar Salomón,Club Atlético Platense,2500000,698323,1999-03-22,26
Gonzalo Goñi,Club Atlético Platense,500000,594104,1998-08-16,27
Edgar Elizalde,Club Atlético Platense,250000,465677,2000-02-27,25
Tomás Silva,Club Atlético Platense,1300000,984072,2003-03-08,22
Jonathan Bay,Club Atlético Platense,125000,360425,1993-02-01,32
Juan Ignacio Saborido,Club Atlético Platense,1700000,866094,1998-04-25,27
Raúl Lozano,Club Atlético Platense,300000,613093,1997-09-02,28
Bautista Barros Schelotto,Club Atlético Platense,225000,852761,2000-01-13,25
Leonel Picco,Club Atlético Platense,3000000,663077,1998-10-22,26
Rodrigo Herrera,Club Atlético Platense,2000000,842141,2000-08-02,25
Felipe Bussio,Club Atlético Platense,25000,1285240,2004-06-16,21
Marcos Portillo,Club Atlético Platense,1000000,966314,2000-01-31,25
Enzo Roldán,Club Atlético Platense,500000,814970,2000-12-08,24
Franco Baldassarra,Club Atlético Platense,400000,655678,1998-09-29,27
Franco Zapiola,Club Atlético Platense,1000000,909349,2001-02-19,24
Mauro Luna Diale,Club Atlético Platense,1000000,653266,1999-04-26,26
Santiago Toloza,Club Atlético Platense,800000,995585,2002-10-28,22
Franco Minerva,Club Atlético Platense,500000,1268653,2006-01-31,19
Rodrigo Márquez,Club Atlético Platense,150000,909735,2002-02-15,23
Guido Mainero,Club Atlético Platense,1800000,441270,1995-03-23,30
Ignacio Schor,Club Atlético Platense,800000,840760,2000-08-04,25
Ronaldo Martínez,Club Atlético Platense,2500000,567736,1996-04-25,29
Augusto Lotti,Club Atlético Platense,800000,406296,1996-06-10,29
Nicolás Orsini,Club Atlético Platense,600000,289149,1994-09-12,31
Maximiliano Rodríguez,Club Atlético Platense,500000,623947,2000-05-31,25
Conan Ledesma,CA River Plate,2200000,284342,1993-02-13,32
Franco Armani,CA River Plate,700000,119634,1986-10-16,39
Lucas Martínez Quarta,CA River Plate,5000000,373373,1996-05-10,29
Lautaro Rivero,CA River Plate,4000000,1261395,2003-11-01,21
