name,team,market_value_eur,player_id,dob,age,market_value,tm_player_id,nationality,last_update
Federico Losas,Club Atlético Platense,100000,661127,2002-03-28,23,100000,661127,,2025-10-17
Andrés Desábato,Club Atlético Platense,50000,596908,1990-03-30,35,50000,596908,,2025-10-17
Ignacio Vázquez,Club Atlético Platense,3000000,552635,1997-06-15,28,3000000,552635,,2025-10-17
Oscar Salomón,Club Atlético Platense,2500000,698323,1999-03-22,26,2500000,698323,,2025-10-17
Gonzalo Goñi,Club Atlético Platense,500000,594104,1998-08-16,27,500000,594104,,2025-10-17
Edgar Elizalde,Club Atlético Platense,250000,465677,2000-02-27,25,250000,465677,,2025-10-17
Tomás Silva,Club Atlético Platense,1300000,984072,2003-03-08,22,1300000,984072,,2025-10-17
Jonathan Bay,Club Atlético Platense,125000,360425,1993-02-01,32,125000,360425,,2025-10-17
Juan Ignacio Saborido,Club Atlético Platense,1700000,866094,1998-04-25,27,1700000,866094,,2025-10-17
Raúl Lozano,Club Atlético Platense,300000,613093,1997-09-02,28,300000,613093,,2025-10-17
Bautista Barros Schelotto,Club Atlético Platense,225000,852761,2000-01-13,25,225000,852761,,2025-10-17
Leonel Picco,Club Atlético Platense,3000000,663077,1998-10-22,26,3000000,663077,,2025-10-17
Rodrigo Herrera,Club Atlético Platense,2000000,842141,2000-08-02,25,2000000,842141,,2025-10-17
Felipe Bussio,Club Atlético Platense,25000,1285240,2004-06-16,21,25000,1285240,,2025-10-17
Marcos Portillo,Club Atlético Platense,1000000,966314,2000-01-31,25,1000000,966314,,2025-10-17
Enzo Roldán,Club Atlético Platense,500000,814970,2000-12-08,24,500000,814970,,2025-10-17
Franco Baldassarra,Club Atlético Platense,400000,655678,1998-09-29,27,400000,655678,,2025-10-17
Franco Zapiola,Club Atlético Platense,1000000,909349,2001-02-19,24,1000000,909349,,2025-10-17
Mauro Luna Diale,Club Atlético Platense,1000000,653266,1999-04-26,26,1000000,653266,,2025-10-17
Santiago Toloza,Club Atlético Platense,800000,995585,2002-10-28,22,800000,995585,,2025-10-17
Franco Minerva,Club Atlético Platense,500000,1268653,2006-01-31,19,500000,1268653,,2025-10-17
Rodrigo Márquez,Club Atlético Platense,150000,909735,2002-02-15,23,150000,909735,,2025-10-17
Guido Mainero,Club Atlético Platense,1800000,441270,1995-03-23,30,1800000,441270,,2025-10-17
Ignacio Schor,Club Atlético Platense,800000,840760,2000-08-04,25,800000,840760,,2025-10-17
Ronaldo Martínez,Club Atlético Platense,2500000,567736,1996-04-25,29,2500000,567736,,2025-10-17
Augusto Lotti,Club Atlético Platense,800000,406296,1996-06-10,29,800000,406296,,2025-10-17
Nicolás Orsini,Club Atlético Platense,600000,289149,1994-09-12,31,600000,289149,,2025-10-17
Maximiliano Rodríguez,Club Atlético Platense,500000,623947,2000-05-31,25,500000,623947,,2025-10-17
Conan Ledesma,CA River Plate,2200000,284342,1993-02-13,32,2200000,284342,,2025-10-17
Franco Armani,CA River Plate,700000,119634,1986-10-16,39,700000,119634,,2025-10-17
Lucas Martínez Quarta,CA River Plate,5000000,373373,1996-05-10,29,5000000,373373,,2025-10-17
Lautaro Rivero,CA River Plate,4000000,1261395,2003-11-01,21,4000000,1261395,,2025-10-17
Paulo Díaz,CA River Plate,4000000,271478,1994-08-25,31,4000000,271478,,2025-10-17
Sebastián Boselli,CA River Plate,3800000,898352,2003-12-04,21,3800000,898352,,2025-10-17
Juan Carlos Portillo,CA River Plate,3500000,830842,2000-05-18,25,3500000,830842,,2025-10-17
Federico Gattoni,CA River Plate,1300000,660735,1999-02-16,26,1300000,660735,,2025-10-17
Germán Pezzella,CA River Plate,1300000,113133,1991-06-27,34,1300000,113133,,2025-10-17
Marcos Acuña,CA River Plate,2000000,60410,1991-10-28,33,2000000,60410,,2025-10-17
Milton Casco,CA River Plate,100000,115183,1988-04-11,37,100000,115183,,2025-10-17
Gonzalo Montiel,CA River Plate,5000000,402733,1997-01-01,28,5000000,402733,,2025-10-17
