Player,MarketValueEUR,team_name,team_id
Ramiro Macagno,,Club Atlético Platense,928
Joaquín Blázquez,,Club Atlético Platense,928
Juan Pablo Cozzani,,Club Atlético Platense,928
Andrés Desábato,,Club Atlético Platense,928
Alejandro Sánchez,,Club Atlético Platense,928
Nicolás Sumavil,,Club Atlético Platense,928
Miguel Jacquet,,Club Atlético Platense,928
Gastón Suso,,Club Atlético Platense,928
Ignacio Vázquez,,Club Atlético Platense,928
Oscar Salomón,,Club Atlético Platense,928
Juan Pablo Pignani,,Club Atlético Platense,928
Agustín Quiroga,,Club Atlético Platense,928
Juan Infante,,Club Atlético Platense,928
Sasha Marcich,,Club Atlético Platense,928
Gonzalo Valdivia,,Club Atlético Platense,928
Raúl Lozano,,Club Atlético Platense,928
Nicolás Morgantini,,Club Atlético Platense,928
Gonzalo Asís,,Club Atlético Platense,928
Bautista Barros Schelotto,,Club Atlético Platense,928
Juan Ignacio Saborido,,Club Atlético Platense,928
Carlos Villalba,,Club Atlético Platense,928
Iván Gómez,,Club Atlético Platense,928
Iván Rossi,,Club Atlético Platense,928
Leonel Picco,,Club Atlético Platense,928
Jerónimo Cacciabue,,Club Atlético Platense,928
Nicolás Castro,,Club Atlético Platense,928
Franco Díaz,,Club Atlético Platense,928
Braian Rivero,,Club Atlético Platense,928
Franco Baldassarra,,Club Atlético Platense,928
Fernando Juárez,,Club Atlético Platense,928
Nicolás Ortiz,,Club Atlético Platense,928
Lisandro Montenegro,,Club Atlético Platense,928
Franco Zapiola,,Club Atlético Platense,928
Vicente Taborda,,Club Atlético Platense,928
Gabriel Hachen,,Club Atlético Platense,928
Luciano Ferreyra,,Club Atlético Platense,928
Agustín Obando,,Club Atlético Platense,928
Alan Marinelli,,Club Atlético Platense,928
Agustín Ocampo,,Club Atlético Platense,928
Luis Angulo,,Club Atlético Platense,928
Rodrigo Márquez,,Club Atlético Platense,928
Agustín Alonso,,Club Atlético Platense,928
Franco Minerva,,Club Atlético Platense,928
Ignacio Schor,,Club Atlético Platense,928
Guido Mainero,,Club Atlético Platense,928
Gabriel Gudiño,,Club Atlético Platense,928
Ciro Rius,,Club Atlético Platense,928
Maximiliano Zalazar,,Club Atlético Platense,928
Facundo Russo,,Club Atlético Platense,928
Manuel Tucker,,Club Atlético Platense,928
Maximiliano Urruti,,Club Atlético Platense,928
Augusto Lotti,,Club Atlético Platense,928
Mauro Quiroga,,Club Atlético Platense,928
Nicolás Servetto,,Club Atlético Platense,928
Ronaldo Martínez,,Club Atlético Platense,928
Mateo Pellegrino,,Club Atlético Platense,928
Juan Pablo Goicochea,,Club Atlético Platense,928
Tobías Cervera,,Club Atlético Platense,928
Nadir Zeineddin,,Club Atlético Platense,928
Conan Ledesma,,CA River Plate,209
Franco Armani,,CA River Plate,209
Ezequiel Centurión,,CA River Plate,209
Lucas Lavagnino,,CA River Plate,209
Santiago Beltrán,,CA River Plate,209
Lucas Martínez Quarta,,CA River Plate,209
Paulo Díaz,,CA River Plate,209
Germán Pezzella,,CA River Plate,209
David Martínez,,CA River Plate,209
Federico Gattoni,,CA River Plate,209
Emanuel Mammana,,CA River Plate,209
Ramiro Funes Mori,,CA River Plate,209
Leandro González Pírez,,CA River Plate,209
Jonatan Maidana,,CA River Plate,209
Sebastián Boselli,,CA River Plate,209
Daniel Zabala,,CA River Plate,209
Marcos Acuña,,CA River Plate,209
Enzo Díaz,,CA River Plate,209
Milton Casco,,CA River Plate,209
Franco Carboni,,CA River Plate,209
Gonzalo Montiel,,CA River Plate,209
Fabricio Bustos,,CA River Plate,209
Andrés Herrera,,CA River Plate,209
Agustín Sant'Anna,,CA River Plate,209
Rodrigo Villagra,,CA River Plate,209
Matías Kranevitter,,CA River Plate,209
Bruno Zuculini,,CA River Plate,209
Enzo Pérez,,CA River Plate,209
Felipe Peña Biafore,,CA River Plate,209
Nicolás Fonseca,,CA River Plate,209
Nicolás de la Cruz,,CA River Plate,209
Agustín Palavecino,,CA River Plate,209
Rodrigo Aliendro,,CA River Plate,209
Tobías Leiva,,CA River Plate,209
Santiago Simón,,CA River Plate,209
Manuel Lanzini,,CA River Plate,209
Gonzalo Martínez,,CA River Plate,209
Esequiel Barco,,CA River Plate,209
Nacho Fernández,,CA River Plate,209
Matías Rojas,,CA River Plate,209
Claudio Echeverri,,CA River Plate,209
Jonás Luna,,CA River Plate,209
Santiago Lencina,,CA River Plate,209
Maximiliano Meza,,CA River Plate,209
Pablo Solari,,CA River Plate,209
Franco Mastantuono,,CA River Plate,209
Ian Subiabre,,CA River Plate,209
Sebastián Driussi,,CA River Plate,209
Miguel Borja,,CA River Plate,209
Facundo Colidio,,CA River Plate,209
Adam Bareiro,,CA River Plate,209
Matías Suárez,,CA River Plate,209
Salomón Rondón,,CA River Plate,209
Agustín Ruberto,,CA River Plate,209
Sergio Romero,,CA Boca Juniors,189
Leandro Brey,,CA Boca Juniors,189
Javier García,,CA Boca Juniors,189
Sebastián Díaz Robles,,CA Boca Juniors,189
Nicolás Figal,,CA Boca Juniors,189
Marcos Rojo,,CA Boca Juniors,189
Bruno Valdez,,CA Boca Juniors,189
Cristian Lema,,CA Boca Juniors,189
Gary Medel,,CA Boca Juniors,189
Nicolás Valentini,,CA Boca Juniors,189
Facundo Roncaglia,,CA Boca Juniors,189
Lautaro Di Lollo,,CA Boca Juniors,189
Mateo Mendía,,CA Boca Juniors,189
Aarón Anselmino,,CA Boca Juniors,189
Walter Molas,,CA Boca Juniors,189
Lautaro Blanco,,CA Boca Juniors,189
Marcelo Saracchi,,CA Boca Juniors,189
Frank Fabra,,CA Boca Juniors,189
Lucas Blondel,,CA Boca Juniors,189
Marcelo Weigandt,,CA Boca Juniors,189
Luis Advíncula,,CA Boca Juniors,189
Juan Barinaga,,CA Boca Juniors,189
Dylan Gorosito,,CA Boca Juniors,189
Equi Fernández,,CA Boca Juniors,189
Tomás Belmonte,,CA Boca Juniors,189
Jorman Campuzano,,CA Boca Juniors,189
Diego González,,CA Boca Juniors,189
Ignacio Miramón,,CA Boca Juniors,189
Mauricio Benítez,,CA Boca Juniors,189
Milton Delgado,,CA Boca Juniors,189
Cristian Medina,,CA Boca Juniors,189
Juan Ramírez,,CA Boca Juniors,189
Pol Fernández,,CA Boca Juniors,189
Valentín Barco,,CA Boca Juniors,189
Jabes Saralegui,,CA Boca Juniors,189
Julián Ceballos,,CA Boca Juniors,189
Santiago Dalmasso,,CA Boca Juniors,189
Román Rodríguez,,CA Boca Juniors,189
Ezequiel Bullaude,,CA Boca Juniors,189
Agustín Martegani,,CA Boca Juniors,189
Vicente Taborda,,CA Boca Juniors,189
Juan Cruz Payal,,CA Boca Juniors,189
Lucas Janson,,CA Boca Juniors,189
Kevin Zenón,,CA Boca Juniors,189
Brian Aguirre,,CA Boca Juniors,189
Joaquín Ruiz,,CA Boca Juniors,189
Exequiel Zeballos,,CA Boca Juniors,189
Luca Langoni,,CA Boca Juniors,189
Norberto Briasco,,CA Boca Juniors,189
Iker Zufiaurre,,CA Boca Juniors,189
Edinson Cavani,,CA Boca Juniors,189
Miguel Merentiel,,CA Boca Juniors,189
